date,NTES
2014-12-01,27
2014-12-02,26
2014-12-03,21
2014-12-04,29
2014-12-05,33
2014-12-06,41
2014-12-07,33
2014-12-08,34
2014-12-09,26
2014-12-10,25
2014-12-11,26
2014-12-12,33
2014-12-13,40
2014-12-14,36
2014-12-15,28
2014-12-16,29
2014-12-17,30
2014-12-18,30
2014-12-19,43
2014-12-20,49
2014-12-21,46
2014-12-22,42
2014-12-23,45
2014-12-24,64
2014-12-25,58
2014-12-26,55
2014-12-27,53
2014-12-28,47
2014-12-29,47
2014-12-30,46
2014-12-31,57
2015-01-01,39
2015-01-02,42
2015-01-03,46
2015-01-04,51
2015-01-05,42
2015-01-06,35
2015-01-07,38
2015-01-08,34
2015-01-09,42
2015-01-10,48
2015-01-11,38
2015-01-12,39
2015-01-13,38
2015-01-14,37
2015-01-15,44
2015-01-16,46
2015-01-17,47
2015-01-18,40
2015-01-19,45
2015-01-20,46
2015-01-21,42
2015-01-22,40
2015-01-23,49
2015-01-24,65
2015-01-25,42
2015-01-26,38
2015-01-27,46
2015-01-28,40
2015-01-29,45
2015-01-30,47
2015-01-31,54
2015-02-01,55
2015-02-02,48
2015-02-03,38
2015-02-04,30
2015-02-05,40
2015-02-06,45
2015-02-07,48
2015-02-08,38
2015-02-09,40
2015-02-10,42
2015-02-11,34
2015-02-12,36
2015-02-13,44
2015-02-14,48
2015-02-15,41
2015-02-16,60
2015-02-17,33
2015-02-18,39
2015-02-19,38
2015-02-20,42
2015-02-21,40
2015-02-22,36
2015-02-23,39
2015-02-24,43
2015-02-25,34
2015-02-26,43
2015-02-27,45
2015-02-28,52
2015-03-01,45
2015-03-02,40
2015-03-03,54
2015-03-04,51
2015-03-05,51
2015-03-06,27
2015-03-07,55
2015-03-08,59
2015-03-09,49
2015-03-10,43
2015-03-11,48
2015-03-12,43
2015-03-13,50
2015-03-14,63
2015-03-15,49
2015-03-16,40
2015-03-17,44
2015-03-18,40
2015-03-19,40
2015-03-20,47
2015-03-21,53
2015-03-22,42
2015-03-23,43
2015-03-24,43
2015-03-25,51
2015-03-26,33
2015-03-27,49
2015-03-28,48
2015-03-29,40
2015-03-30,38
2015-03-31,45
2015-04-01,42
2015-04-02,47
2015-04-03,41
2015-04-04,54
2015-04-05,40
2015-04-06,46
2015-04-07,35
2015-04-08,38
2015-04-09,37
2015-04-10,48
2015-04-11,60
2015-04-12,40
2015-04-13,38
2015-04-14,41
2015-04-15,43
2015-04-16,42
2015-04-17,45
2015-04-18,50
2015-04-19,47
2015-04-20,36
2015-04-21,43
2015-04-22,40
2015-04-23,38
2015-04-24,47
2015-04-25,55
2015-04-26,42
2015-04-27,44
2015-04-28,47
2015-04-29,48
2015-04-30,52
2015-05-01,55
2015-05-02,64
2015-05-03,48
2015-05-04,58
2015-05-05,46
2015-05-06,46
2015-05-07,43
2015-05-08,54
2015-05-09,56
2015-05-10,60
2015-05-11,50
2015-05-12,45
2015-05-13,46
2015-05-14,54
2015-05-15,51
2015-05-16,57
2015-05-17,52
2015-05-18,53
2015-05-19,49
2015-05-20,41
2015-05-21,54
2015-05-22,53
2015-05-23,61
2015-05-24,57
2015-05-25,54
2015-05-26,69
2015-05-27,50
2015-05-28,54
2015-05-29,64
2015-05-30,90
2015-05-31,60
2015-06-01,53
2015-06-02,56
2015-06-03,61
2015-06-04,62
2015-06-05,67
2015-06-06,69
2015-06-07,63
2015-06-08,66
2015-06-09,62
2015-06-10,57
2015-06-11,60
2015-06-12,78
2015-06-13,78
2015-06-14,56
2015-06-15,54
2015-06-16,57
2015-06-17,61
2015-06-18,75
2015-06-19,88
2015-06-20,100
2015-06-21,81
2015-06-22,71
2015-06-23,61
2015-06-24,64
2015-06-25,72
2015-06-26,75
2015-06-27,76
2015-06-28,64
2015-06-29,83
2015-06-30,65
2015-07-01,49
2015-07-02,60
2015-07-03,62
2015-07-04,79
2015-07-05,59
2015-07-06,65
2015-07-07,54
2015-07-08,56
2015-07-09,59
2015-07-10,69
2015-07-11,86
2015-07-12,62
2015-07-13,77
2015-07-14,62
2015-07-15,64
2015-07-16,64
2015-07-17,83
2015-07-18,70
2015-07-19,96
2015-07-20,79
2015-07-21,60
2015-07-22,70
2015-07-23,74
2015-07-24,86
2015-07-25,82
2015-07-26,64
2015-07-27,64
2015-07-28,57
2015-07-29,56
2015-07-30,64
2015-07-31,65
2015-08-01,78
2015-08-02,69
2015-08-03,69
2015-08-04,61
2015-08-05,64
2015-08-06,65
2015-08-07,76
2015-08-08,82
2015-08-09,65
2015-08-10,59
2015-08-11,55
2015-08-12,65
2015-08-13,60
2015-08-14,79
2015-08-15,65
2015-08-16,72
2015-08-17,53
2015-08-18,52
