date,NTES
2017-01-19,74
2017-01-20,78
2017-01-21,91
2017-01-22,73
2017-01-23,73
2017-01-24,68
2017-01-25,72
2017-01-26,57
2017-01-27,72
2017-01-28,87
2017-01-29,78
2017-01-30,72
2017-01-31,79
2017-02-01,89
2017-02-02,87
2017-02-03,87
2017-02-04,98
2017-02-05,79
2017-02-06,84
2017-02-07,80
2017-02-08,80
2017-02-09,73
2017-02-10,80
2017-02-11,88
2017-02-12,74
2017-02-13,72
2017-02-14,66
2017-02-15,67
2017-02-16,69
2017-02-17,72
2017-02-18,84
2017-02-19,69
2017-02-20,71
2017-02-21,69
2017-02-22,71
2017-02-23,78
2017-02-24,64
2017-02-25,83
2017-02-26,70
2017-02-27,69
2017-02-28,66
2017-03-01,65
2017-03-02,69
2017-03-03,72
2017-03-04,75
2017-03-05,64
2017-03-06,69
2017-03-07,68
2017-03-08,63
2017-03-09,79
2017-03-10,97
2017-03-11,100
2017-03-12,55
2017-03-13,41
2017-03-14,71
2017-03-15,82
2017-03-16,73
2017-03-17,78
2017-03-18,87
2017-03-19,76
2017-03-20,71
2017-03-21,67
2017-03-22,60
2017-03-23,64
2017-03-24,71
2017-03-25,81
2017-03-26,71
2017-03-27,67
2017-03-28,63
2017-03-29,61
2017-03-30,67
2017-03-31,67
2017-04-01,81
