date,NTES
2014-07-24,16
2014-07-25,22
2014-07-26,24
2014-07-27,22
2014-07-28,19
2014-07-29,21
2014-07-30,21
2014-07-31,23
2014-08-01,19
2014-08-02,22
2014-08-03,15
2014-08-04,24
2014-08-05,19
2014-08-06,20
2014-08-07,29
2014-08-08,27
2014-08-09,27
2014-08-10,24
2014-08-11,17
2014-08-12,18
2014-08-13,26
2014-08-14,35
2014-08-15,20
2014-08-16,21
2014-08-17,26
2014-08-18,26
2014-08-19,21
2014-08-20,22
2014-08-21,20
2014-08-22,25
2014-08-23,22
2014-08-24,19
2014-08-25,18
2014-08-26,24
2014-08-27,24
2014-08-28,21
2014-08-29,14
2014-08-30,27
2014-08-31,18
2014-09-01,22
2014-09-02,19
2014-09-03,23
2014-09-04,16
2014-09-05,22
2014-09-06,27
2014-09-07,18
2014-09-08,15
2014-09-09,15
2014-09-10,19
2014-09-11,14
2014-09-12,16
2014-09-13,17
2014-09-14,23
2014-09-15,19
2014-09-16,20
2014-09-17,24
2014-09-18,17
2014-09-19,21
2014-09-20,21
2014-09-21,24
2014-09-22,20
2014-09-23,15
2014-09-24,20
2014-09-25,23
2014-09-26,22
2014-09-27,30
2014-09-28,26
2014-09-29,25
2014-09-30,23
2014-10-01,33
2014-10-02,18
2014-10-03,23
2014-10-04,31
2014-10-05,31
2014-10-06,27
2014-10-07,26
2014-10-08,27
2014-10-09,25
2014-10-10,27
2014-10-11,32
2014-10-12,30
2014-10-13,26
2014-10-14,28
2014-10-15,30
2014-10-16,27
2014-10-17,30
2014-10-18,34
2014-10-19,32
2014-10-20,34
2014-10-21,32
2014-10-22,27
2014-10-23,27
2014-10-24,36
2014-10-25,42
2014-10-26,66
2014-10-27,33
2014-10-28,25
2014-10-29,33
2014-10-30,31
2014-10-31,37
2014-11-01,42
2014-11-02,42
2014-11-03,26
2014-11-04,25
2014-11-05,29
2014-11-06,33
2014-11-07,38
2014-11-08,47
2014-11-09,24
2014-11-10,30
2014-11-11,25
2014-11-12,26
2014-11-13,25
2014-11-14,26
2014-11-15,34
2014-11-16,26
2014-11-17,28
2014-11-18,27
2014-11-19,34
2014-11-20,25
2014-11-21,33
2014-11-22,36
2014-11-23,30
2014-11-24,31
2014-11-25,25
2014-11-26,22
2014-11-27,30
2014-11-28,35
2014-11-29,49
2014-11-30,49
2014-12-01,32
2014-12-02,32
2014-12-03,30
2014-12-04,36
2014-12-05,48
2014-12-06,57
2014-12-07,38
2014-12-08,40
2014-12-09,41
2014-12-10,35
2014-12-11,37
2014-12-12,55
2014-12-13,62
2014-12-14,48
2014-12-15,45
2014-12-16,35
2014-12-17,39
2014-12-18,41
2014-12-19,63
2014-12-20,74
2014-12-21,52
2014-12-22,71
2014-12-23,67
2014-12-24,100
2014-12-25,79
2014-12-26,78
2014-12-27,72
2014-12-28,64
2014-12-29,68
2014-12-30,60
2014-12-31,74
2015-01-01,56
2015-01-02,58
2015-01-03,66
2015-01-04,66
2015-01-05,50
2015-01-06,39
2015-01-07,47
2015-01-08,49
2015-01-09,58
2015-01-10,73
2015-01-11,54
2015-01-12,48
2015-01-13,62
2015-01-14,57
2015-01-15,56
2015-01-16,59
2015-01-17,68
2015-01-18,53
2015-01-19,60
2015-01-20,65
2015-01-21,56
2015-01-22,56
2015-01-23,85
2015-01-24,86
2015-01-25,56
2015-01-26,53
2015-01-27,64
2015-01-28,59
2015-01-29,55
2015-01-30,56
2015-01-31,85
2015-02-01,78
2015-02-02,58
2015-02-03,42
2015-02-04,42
2015-02-05,55
2015-02-06,64
2015-02-07,52
2015-02-08,59
2015-02-09,48
2015-02-10,63
2015-02-11,37
2015-02-12,55
2015-02-13,61
2015-02-14,70
2015-02-15,54
2015-02-16,85
2015-02-17,50
2015-02-18,48
2015-02-19,55
2015-02-20,68
2015-02-21,64
2015-02-22,49
2015-02-23,60
2015-02-24,61
2015-02-25,48
2015-02-26,60
2015-02-27,63
2015-02-28,69
2015-03-01,65
2015-03-02,58
2015-03-03,72
2015-03-04,77
2015-03-05,74
2015-03-06,42
2015-03-07,72
2015-03-08,78
2015-03-09,70
2015-03-10,52
2015-03-11,64
2015-03-12,56
2015-03-13,61
2015-03-14,81
2015-03-15,64
2015-03-16,59
2015-03-17,57
2015-03-18,54
2015-03-19,53
2015-03-20,69
2015-03-21,82
2015-03-22,61
2015-03-23,55
2015-03-24,55
2015-03-25,67
2015-03-26,42
2015-03-27,62
2015-03-28,66
2015-03-29,56
2015-03-30,60
2015-03-31,58
2015-04-01,65
2015-04-02,61
2015-04-03,55
2015-04-04,65
2015-04-05,55
2015-04-06,58
2015-04-07,48
2015-04-08,57
2015-04-09,52
2015-04-10,56
