date,NTES
2011-05-11,34
2011-05-12,14
2011-05-13,36
2011-05-14,60
2011-05-15,42
2011-05-16,33
2011-05-17,20
2011-05-18,69
2011-05-19,49
2011-05-20,29
2011-05-21,44
2011-05-22,43
2011-05-23,34
2011-05-24,47
2011-05-25,62
2011-05-26,41
2011-05-27,58
2011-05-28,35
2011-05-29,18
2011-05-30,22
2011-05-31,34
2011-06-01,56
2011-06-02,58
2011-06-03,59
2011-06-04,54
2011-06-05,78
2011-06-06,41
2011-06-07,47
2011-06-08,41
2011-06-09,89
2011-06-10,22
2011-06-11,44
2011-06-12,44
2011-06-13,34
2011-06-14,47
2011-06-15,41
2011-06-16,62
2011-06-17,64
2011-06-18,52
2011-06-19,52
2011-06-20,33
2011-06-21,93
2011-06-22,34
2011-06-23,42
2011-06-24,44
2011-06-25,44
2011-06-26,71
2011-06-27,68
2011-06-28,41
2011-06-29,27
2011-06-30,76
2011-07-01,22
2011-07-02,18
2011-07-03,36
2011-07-04,65
2011-07-05,56
2011-07-06,41
2011-07-07,42
2011-07-08,37
2011-07-09,36
2011-07-10,18
2011-07-11,34
2011-07-12,27
2011-07-13,48
2011-07-14,70
2011-07-15,45
2011-07-16,27
2011-07-17,44
2011-07-18,55
2011-07-19,54
2011-07-20,21
2011-07-21,28
2011-07-22,15
2011-07-23,43
2011-07-24,17
2011-07-25,27
2011-07-26,21
2011-07-27,41
2011-07-28,42
2011-07-29,51
2011-07-30,35
2011-07-31,27
2011-08-01,35
2011-08-02,84
2011-08-03,69
2011-08-04,41
2011-08-05,14
2011-08-06,26
2011-08-07,51
2011-08-08,27
2011-08-09,34
2011-08-10,34
2011-08-11,61
2011-08-12,43
2011-08-13,96
2011-08-14,52
2011-08-15,42
2011-08-16,41
2011-08-17,34
2011-08-18,61
2011-08-19,63
2011-08-20,51
2011-08-21,67
2011-08-22,46
2011-08-23,33
2011-08-24,59
2011-08-25,20
2011-08-26,55
2011-08-27,65
2011-08-28,90
2011-08-29,46
2011-08-30,33
2011-08-31,86
2011-09-01,100
2011-09-02,48
2011-09-03,48
2011-09-04,64
2011-09-05,26
2011-09-06,63
2011-09-07,64
2011-09-08,95
2011-09-09,60
2011-09-10,0
2011-09-11,62
2011-09-12,93
2011-09-13,75
2011-09-14,99
2011-09-15,51
2011-09-16,80
2011-09-17,55
2011-09-18,91
2011-09-19,99
2011-09-20,62
2011-09-21,56
2011-09-22,63
2011-09-23,60
2011-09-24,39
2011-09-25,69
2011-09-26,50
2011-09-27,67
2011-09-28,56
2011-09-29,76
2011-09-30,47
2011-10-01,63
2011-10-02,62
2011-10-03,94
2011-10-04,50
2011-10-05,74
2011-10-06,50
2011-10-07,39
2011-10-08,15
2011-10-09,30
2011-10-10,31
2011-10-11,47
2011-10-12,66
2011-10-13,25
2011-10-14,38
2011-10-15,53
2011-10-16,67
2011-10-17,36
2011-10-18,49
2011-10-19,67
2011-10-20,37
2011-10-21,65
2011-10-22,76
2011-10-23,44
2011-10-24,72
2011-10-25,73
2011-10-26,61
2011-10-27,49
2011-10-28,58
2011-10-29,53
2011-10-30,15
2011-10-31,44
2011-11-01,50
2011-11-02,55
2011-11-03,67
2011-11-04,38
2011-11-05,37
2011-11-06,73
2011-11-07,54
2011-11-08,42
2011-11-09,55
2011-11-10,43
2011-11-11,88
2011-11-12,89
2011-11-13,65
2011-11-14,47
2011-11-15,42
2011-11-16,42
2011-11-17,90
2011-11-18,81
2011-11-19,72
2011-11-20,36
2011-11-21,71
2011-11-22,71
2011-11-23,96
2011-11-24,32
2011-11-25,97
2011-11-26,36
2011-11-27,42
2011-11-28,76
2011-11-29,41
2011-11-30,48
2011-12-01,54
2011-12-02,56
2011-12-03,50
2011-12-04,35
2011-12-05,41
2011-12-06,47
2011-12-07,53
2011-12-08,55
2011-12-09,81
2011-12-10,72
2011-12-11,50
2011-12-12,81
2011-12-13,64
2011-12-14,18
2011-12-15,42
2011-12-16,70
2011-12-17,51
2011-12-18,65
2011-12-19,54
2011-12-20,54
2011-12-21,31
2011-12-22,64
2011-12-23,55
2011-12-24,32
2011-12-25,52
2011-12-26,28
2011-12-27,26
2011-12-28,51
2011-12-29,77
2011-12-30,61
2011-12-31,79
2012-01-01,49
2012-01-02,56
2012-01-03,23
2012-01-04,58
2012-01-05,35
2012-01-06,24
2012-01-07,48
2012-01-08,79
2012-01-09,51
2012-01-10,56
2012-01-11,45
2012-01-12,52
2012-01-13,35
2012-01-14,35
2012-01-15,41
2012-01-16,28
2012-01-17,84
2012-01-18,55
2012-01-19,56
2012-01-20,29
2012-01-21,33
2012-01-22,33
2012-01-23,72
2012-01-24,44
2012-01-25,28
2012-01-26,28
