date,NTES
2015-08-18,42
2015-08-19,49
2015-08-20,39
2015-08-21,47
2015-08-22,62
2015-08-23,42
2015-08-24,49
2015-08-25,54
2015-08-26,65
2015-08-27,68
2015-08-28,81
2015-08-29,55
2015-08-30,61
2015-08-31,68
2015-09-01,53
2015-09-02,55
2015-09-03,46
2015-09-04,58
2015-09-05,54
2015-09-06,57
2015-09-07,49
2015-09-08,41
2015-09-09,37
2015-09-10,40
2015-09-11,63
2015-09-12,68
2015-09-13,49
2015-09-14,48
2015-09-15,43
2015-09-16,42
2015-09-17,43
2015-09-18,49
2015-09-19,73
2015-09-20,63
2015-09-21,48
2015-09-22,59
2015-09-23,51
2015-09-24,62
2015-09-25,45
2015-09-26,53
2015-09-27,58
2015-09-28,54
2015-09-29,67
2015-09-30,60
2015-10-01,100
2015-10-02,58
2015-10-03,89
2015-10-04,65
2015-10-05,73
2015-10-06,52
2015-10-07,47
2015-10-08,46
2015-10-09,58
2015-10-10,71
2015-10-11,49
2015-10-12,50
2015-10-13,56
2015-10-14,56
2015-10-15,50
2015-10-16,63
2015-10-17,85
2015-10-18,61
2015-10-19,53
2015-10-20,54
2015-10-21,47
2015-10-22,35
2015-10-23,50
2015-10-24,56
2015-10-25,59
2015-10-26,51
2015-10-27,38
2015-10-28,41
2015-10-29,44
2015-10-30,51
2015-10-31,55
2015-11-01,49
2015-11-02,41
2015-11-03,48
2015-11-04,46
2015-11-05,47
2015-11-06,67
2015-11-07,95
2015-11-08,60
2015-11-09,56
2015-11-10,57
2015-11-11,33
2015-11-12,45
2015-11-13,63
2015-11-14,72
2015-11-15,70
2015-11-16,61
2015-11-17,51
2015-11-18,56
2015-11-19,57
2015-11-20,62
2015-11-21,67
2015-11-22,54
2015-11-23,55
2015-11-24,59
2015-11-25,63
2015-11-26,54
2015-11-27,69
2015-11-28,62
2015-11-29,54
2015-11-30,60
2015-12-01,52
2015-12-02,56
2015-12-03,68
2015-12-04,65
2015-12-05,74
2015-12-06,63
2015-12-07,64
2015-12-08,77
2015-12-09,85
2015-12-10,71
2015-12-11,99
2015-12-12,83
2015-12-13,64
2015-12-14,60
2015-12-15,65
2015-12-16,60
2015-12-17,75
2015-12-18,80
2015-12-19,93
2015-12-20,65
2015-12-21,67
2015-12-22,71
2015-12-23,95
2015-12-24,80
2015-12-25,72
2015-12-26,73
2015-12-27,86
2015-12-28,65
2015-12-29,71
2015-12-30,65
2015-12-31,91
2016-01-01,67
2016-01-02,76
2016-01-03,79
2016-01-04,61
2016-01-05,55
2016-01-06,60
2016-01-07,63
2016-01-08,67
2016-01-09,72
2016-01-10,54
2016-01-11,60
2016-01-12,59
2016-01-13,56
2016-01-14,65
2016-01-15,63
2016-01-16,79
2016-01-17,67
2016-01-18,72
2016-01-19,62
2016-01-20,57
2016-01-21,65
2016-01-22,73
2016-01-23,78
2016-01-24,63
2016-01-25,69
2016-01-26,50
2016-01-27,59
2016-01-28,59
2016-01-29,67
2016-01-30,71
2016-01-31,57
2016-02-01,64
2016-02-02,59
2016-02-03,64
2016-02-04,57
2016-02-05,62
2016-02-06,70
2016-02-07,58
2016-02-08,60
2016-02-09,64
2016-02-10,65
2016-02-11,59
2016-02-12,74
2016-02-13,72
2016-02-14,61
2016-02-15,65
2016-02-16,66
2016-02-17,59
2016-02-18,55
2016-02-19,69
2016-02-20,94
2016-02-21,67
2016-02-22,72
2016-02-23,65
2016-02-24,68
2016-02-25,74
2016-02-26,76
2016-02-27,73
2016-02-28,54
2016-02-29,64
2016-03-01,54
2016-03-02,67
2016-03-03,56
2016-03-04,63
2016-03-05,87
2016-03-06,55
2016-03-07,62
2016-03-08,64
2016-03-09,58
2016-03-10,64
2016-03-11,72
2016-03-12,72
2016-03-13,66
2016-03-14,64
2016-03-15,63
2016-03-16,62
2016-03-17,69
2016-03-18,85
2016-03-19,95
2016-03-20,72
2016-03-21,79
2016-03-22,75
2016-03-23,58
2016-03-24,49
2016-03-25,66
2016-03-26,84
2016-03-27,92
2016-03-28,75
2016-03-29,65
2016-03-30,63
2016-03-31,67
2016-04-01,69
2016-04-02,85
2016-04-03,62
2016-04-04,61
2016-04-05,61
2016-04-06,64
2016-04-07,65
2016-04-08,58
2016-04-09,72
2016-04-10,60
2016-04-11,62
2016-04-12,61
2016-04-13,82
2016-04-14,59
2016-04-15,62
2016-04-16,82
2016-04-17,83
2016-04-18,70
2016-04-19,69
2016-04-20,72
2016-04-21,77
2016-04-22,72
2016-04-23,73
2016-04-24,71
2016-04-25,66
2016-04-26,65
2016-04-27,62
2016-04-28,62
2016-04-29,76
2016-04-30,81
2016-05-01,67
2016-05-02,70
2016-05-03,62
2016-05-04,60
