date,SWKS
2012-06-04,21
2012-06-05,21
2012-06-06,32
2012-06-07,33
2012-06-08,11
2012-06-09,13
2012-06-10,0
2012-06-11,0
2012-06-12,21
2012-06-13,11
2012-06-14,16
2012-06-15,34
2012-06-16,0
2012-06-17,27
2012-06-18,21
2012-06-19,16
2012-06-20,11
2012-06-21,33
2012-06-22,34
2012-06-23,14
2012-06-24,27
2012-06-25,11
2012-06-26,64
2012-06-27,16
2012-06-28,11
2012-06-29,17
2012-06-30,14
2012-07-01,40
2012-07-02,22
2012-07-03,0
2012-07-04,17
2012-07-05,34
2012-07-06,23
2012-07-07,27
2012-07-08,0
2012-07-09,11
2012-07-10,16
2012-07-11,11
2012-07-12,11
2012-07-13,23
2012-07-14,0
2012-07-15,0
2012-07-16,11
2012-07-17,16
2012-07-18,55
2012-07-19,28
2012-07-20,58
2012-07-21,28
2012-07-22,0
2012-07-23,33
2012-07-24,11
2012-07-25,27
2012-07-26,11
2012-07-27,17
2012-07-28,27
2012-07-29,13
2012-07-30,11
2012-07-31,11
2012-08-01,27
2012-08-02,11
2012-08-03,0
2012-08-04,14
2012-08-05,14
2012-08-06,16
2012-08-07,22
2012-08-08,27
2012-08-09,28
2012-08-10,11
2012-08-11,13
2012-08-12,13
2012-08-13,11
2012-08-14,22
2012-08-15,23
2012-08-16,11
2012-08-17,0
2012-08-18,14
2012-08-19,28
2012-08-20,34
2012-08-21,33
2012-08-22,11
2012-08-23,17
2012-08-24,34
2012-08-25,0
2012-08-26,13
2012-08-27,10
2012-08-28,10
2012-08-29,16
2012-08-30,11
2012-08-31,45
2012-09-01,13
2012-09-02,0
2012-09-03,22
2012-09-04,10
2012-09-05,21
2012-09-06,53
2012-09-07,34
2012-09-08,13
2012-09-09,13
2012-09-10,16
2012-09-11,21
2012-09-12,36
2012-09-13,42
2012-09-14,27
2012-09-15,13
2012-09-16,0
2012-09-17,10
2012-09-18,15
2012-09-19,16
2012-09-20,100
2012-09-21,88
2012-09-22,26
2012-09-23,12
2012-09-24,87
2012-09-25,15
2012-09-26,46
2012-09-27,21
2012-09-28,50
2012-09-29,32
2012-09-30,19
2012-10-01,26
2012-10-02,31
2012-10-03,31
2012-10-04,20
2012-10-05,21
2012-10-06,0
2012-10-07,12
2012-10-08,20
2012-10-09,20
2012-10-10,20
2012-10-11,20
2012-10-12,16
2012-10-13,12
2012-10-14,18
2012-10-15,19
2012-10-16,24
2012-10-17,20
2012-10-18,40
2012-10-19,21
2012-10-20,24
2012-10-21,0
2012-10-22,29
2012-10-23,15
2012-10-24,30
2012-10-25,25
2012-10-26,16
2012-10-27,0
2012-10-28,23
2012-10-29,10
2012-10-30,24
2012-10-31,40
2012-11-01,42
2012-11-02,37
2012-11-03,18
2012-11-04,23
2012-11-05,34
2012-11-06,48
2012-11-07,43
2012-11-08,20
2012-11-09,31
2012-11-10,12
2012-11-11,12
2012-11-12,20
2012-11-13,39
2012-11-14,20
2012-11-15,25
2012-11-16,26
2012-11-17,17
2012-11-18,12
2012-11-19,29
2012-11-20,14
2012-11-21,15
2012-11-22,41
2012-11-23,10
2012-11-24,12
2012-11-25,11
2012-11-26,0
2012-11-27,28
2012-11-28,24
2012-11-29,38
2012-11-30,35
2012-12-01,34
2012-12-02,0
2012-12-03,28
2012-12-04,33
2012-12-05,24
2012-12-06,24
2012-12-07,20
2012-12-08,23
2012-12-09,11
2012-12-10,19
2012-12-11,19
2012-12-12,48
2012-12-13,29
2012-12-14,35
2012-12-15,34
2012-12-16,12
2012-12-17,19
2012-12-18,24
2012-12-19,0
2012-12-20,35
2012-12-21,26
2012-12-22,0
2012-12-23,0
2012-12-24,30
2012-12-25,13
2012-12-26,11
2012-12-27,31
2012-12-28,43
2012-12-29,23
2012-12-30,12
2012-12-31,24
2013-01-01,12
2013-01-02,29
2013-01-03,19
2013-01-04,15
2013-01-05,22
2013-01-06,0
2013-01-07,14
2013-01-08,14
2013-01-09,14
2013-01-10,38
2013-01-11,19
2013-01-12,11
2013-01-13,27
2013-01-14,9
2013-01-15,23
2013-01-16,18
2013-01-17,32
2013-01-18,29
2013-01-19,27
2013-01-20,0
2013-01-21,0
2013-01-22,27
2013-01-23,27
2013-01-24,51
2013-01-25,19
2013-01-26,22
2013-01-27,21
2013-01-28,27
2013-01-29,36
2013-01-30,18
2013-01-31,27
2013-02-01,52
2013-02-02,22
2013-02-03,21
2013-02-04,9
2013-02-05,27
2013-02-06,23
2013-02-07,18
2013-02-08,19
2013-02-09,22
2013-02-10,0
2013-02-11,18
2013-02-12,9
2013-02-13,18
2013-02-14,18
2013-02-15,23
2013-02-16,27
2013-02-17,16
2013-02-18,0
2013-02-19,31
