date,SWKS
2012-01-26,31
2012-01-27,32
2012-01-28,12
2012-01-29,12
2012-01-30,20
2012-01-31,27
2012-02-01,20
2012-02-02,27
2012-02-03,28
2012-02-04,24
2012-02-05,36
2012-02-06,40
2012-02-07,17
2012-02-08,20
2012-02-09,30
2012-02-10,18
2012-02-11,0
2012-02-12,12
2012-02-13,20
2012-02-14,10
2012-02-15,15
2012-02-16,27
2012-02-17,14
2012-02-18,12
2012-02-19,12
2012-02-20,10
2012-02-21,28
2012-02-22,27
2012-02-23,20
2012-02-24,21
2012-02-25,12
2012-02-26,12
2012-02-27,20
2012-02-28,16
2012-02-29,20
2012-03-01,25
2012-03-02,25
2012-03-03,13
2012-03-04,25
2012-03-05,24
2012-03-06,30
2012-03-07,20
2012-03-08,20
2012-03-09,28
2012-03-10,24
2012-03-11,12
2012-03-12,36
2012-03-13,26
2012-03-14,27
2012-03-15,24
2012-03-16,21
2012-03-17,37
2012-03-18,12
2012-03-19,25
2012-03-20,33
2012-03-21,17
2012-03-22,31
2012-03-23,16
2012-03-24,25
2012-03-25,12
2012-03-26,27
2012-03-27,23
2012-03-28,17
2012-03-29,20
2012-03-30,14
2012-03-31,12
2012-04-01,12
2012-04-02,35
2012-04-03,20
2012-04-04,10
2012-04-05,21
2012-04-06,18
2012-04-07,13
2012-04-08,13
2012-04-09,12
2012-04-10,26
2012-04-11,10
2012-04-12,24
2012-04-13,26
2012-04-14,12
2012-04-15,12
2012-04-16,26
2012-04-17,16
2012-04-18,15
2012-04-19,23
2012-04-20,28
2012-04-21,12
2012-04-22,12
2012-04-23,25
2012-04-24,39
2012-04-25,20
2012-04-26,57
2012-04-27,39
2012-04-28,12
2012-04-29,12
2012-04-30,31
2012-05-01,18
2012-05-02,30
2012-05-03,30
2012-05-04,31
2012-05-05,12
2012-05-06,18
2012-05-07,15
2012-05-08,10
2012-05-09,10
2012-05-10,10
2012-05-11,10
2012-05-12,12
2012-05-13,12
2012-05-14,20
2012-05-15,29
2012-05-16,13
2012-05-17,17
2012-05-18,21
2012-05-19,12
2012-05-20,12
2012-05-21,20
2012-05-22,24
2012-05-23,13
2012-05-24,25
2012-05-25,16
2012-05-26,13
2012-05-27,25
2012-05-28,10
2012-05-29,14
2012-05-30,20
2012-05-31,17
2012-06-01,21
2012-06-02,25
2012-06-03,18
2012-06-04,24
2012-06-05,19
2012-06-06,39
2012-06-07,35
2012-06-08,21
2012-06-09,24
2012-06-10,0
2012-06-11,10
2012-06-12,10
2012-06-13,29
2012-06-14,30
2012-06-15,16
2012-06-16,25
2012-06-17,25
2012-06-18,10
2012-06-19,16
2012-06-20,10
2012-06-21,20
2012-06-22,21
2012-06-23,0
2012-06-24,12
2012-06-25,15
2012-06-26,26
2012-06-27,13
2012-06-28,10
2012-06-29,14
2012-06-30,12
2012-07-01,18
2012-07-02,15
2012-07-03,10
2012-07-04,16
2012-07-05,10
2012-07-06,21
2012-07-07,12
2012-07-08,12
2012-07-09,20
2012-07-10,16
2012-07-11,20
2012-07-12,10
2012-07-13,14
2012-07-14,12
2012-07-15,0
2012-07-16,10
2012-07-17,10
2012-07-18,50
2012-07-19,47
2012-07-20,37
2012-07-21,25
2012-07-22,0
2012-07-23,10
2012-07-24,30
2012-07-25,30
2012-07-26,20
2012-07-27,16
2012-07-28,25
2012-07-29,12
2012-07-30,20
2012-07-31,30
2012-08-01,33
2012-08-02,27
2012-08-03,16
2012-08-04,13
2012-08-05,12
2012-08-06,23
2012-08-07,30
2012-08-08,30
2012-08-09,17
2012-08-10,11
2012-08-11,12
2012-08-12,12
2012-08-13,17
2012-08-14,20
2012-08-15,21
2012-08-16,20
2012-08-17,16
2012-08-18,25
2012-08-19,0
2012-08-20,10
2012-08-21,17
2012-08-22,20
2012-08-23,20
2012-08-24,10
2012-08-25,0
2012-08-26,0
2012-08-27,29
2012-08-28,14
2012-08-29,15
2012-08-30,20
2012-08-31,56
2012-09-01,12
2012-09-02,12
2012-09-03,20
2012-09-04,19
2012-09-05,16
2012-09-06,20
2012-09-07,21
2012-09-08,18
2012-09-09,0
2012-09-10,19
2012-09-11,25
2012-09-12,31
2012-09-13,32
2012-09-14,30
2012-09-15,23
2012-09-16,0
2012-09-17,19
2012-09-18,9
2012-09-19,19
2012-09-20,100
2012-09-21,80
2012-09-22,17
2012-09-23,11
2012-09-24,31
2012-09-25,25
2012-09-26,22
2012-09-27,29
2012-09-28,37
2012-09-29,17
2012-09-30,23
2012-10-01,28
2012-10-02,28
2012-10-03,22
2012-10-04,19
2012-10-05,16
2012-10-06,11
2012-10-07,11
2012-10-08,23
2012-10-09,21
2012-10-10,28
2012-10-11,18
2012-10-12,23
