date,SWKS
2016-08-02,13
2016-08-03,14
2016-08-04,14
2016-08-05,22
2016-08-06,5
2016-08-07,11
2016-08-08,33
2016-08-09,19
2016-08-10,24
2016-08-11,29
2016-08-12,16
2016-08-13,16
2016-08-14,12
2016-08-15,22
2016-08-16,18
2016-08-17,14
2016-08-18,21
2016-08-19,27
2016-08-20,26
2016-08-21,9
2016-08-22,16
2016-08-23,15
2016-08-24,16
2016-08-25,24
2016-08-26,17
2016-08-27,10
2016-08-28,17
2016-08-29,32
2016-08-30,26
2016-08-31,17
2016-09-01,9
2016-09-02,17
2016-09-03,14
2016-09-04,19
2016-09-05,6
2016-09-06,10
2016-09-07,19
2016-09-08,16
2016-09-09,15
2016-09-10,12
2016-09-11,10
2016-09-12,9
2016-09-13,23
2016-09-14,26
2016-09-15,41
2016-09-16,17
2016-09-17,17
2016-09-18,8
2016-09-19,20
2016-09-20,14
2016-09-21,27
2016-09-22,20
2016-09-23,21
2016-09-24,3
2016-09-25,5
2016-09-26,14
2016-09-27,21
2016-09-28,20
2016-09-29,13
2016-09-30,24
2016-10-01,10
2016-10-02,11
2016-10-03,13
2016-10-04,18
2016-10-05,15
2016-10-06,20
2016-10-07,12
2016-10-08,8
2016-10-09,5
2016-10-10,27
2016-10-11,30
2016-10-12,13
2016-10-13,15
2016-10-14,22
2016-10-15,8
2016-10-16,13
2016-10-17,12
2016-10-18,23
2016-10-19,24
2016-10-20,19
2016-10-21,24
2016-10-22,8
2016-10-23,11
2016-10-24,20
2016-10-25,11
2016-10-26,28
2016-10-27,22
2016-10-28,25
2016-10-29,7
2016-10-30,10
2016-10-31,10
2016-11-01,17
2016-11-02,14
2016-11-03,36
2016-11-04,23
2016-11-05,17
2016-11-06,6
2016-11-07,22
2016-11-08,15
2016-11-09,32
2016-11-10,19
2016-11-11,28
2016-11-12,28
2016-11-13,8
2016-11-14,24
2016-11-15,16
2016-11-16,25
2016-11-17,11
2016-11-18,19
2016-11-19,14
2016-11-20,5
2016-11-21,29
2016-11-22,26
2016-11-23,19
2016-11-24,9
2016-11-25,18
2016-11-26,9
2016-11-27,6
2016-11-28,27
2016-11-29,19
2016-11-30,25
2016-12-01,17
2016-12-02,23
2016-12-03,13
2016-12-04,11
2016-12-05,19
2016-12-06,23
2016-12-07,14
2016-12-08,27
2016-12-09,28
2016-12-10,18
2016-12-11,23
2016-12-12,19
2016-12-13,18
2016-12-14,14
2016-12-15,15
2016-12-16,20
2016-12-17,8
2016-12-18,6
2016-12-19,20
2016-12-20,13
2016-12-21,22
2016-12-22,19
2016-12-23,11
2016-12-24,12
2016-12-25,7
2016-12-26,8
2016-12-27,23
2016-12-28,33
2016-12-29,19
2016-12-30,29
2016-12-31,7
2017-01-01,5
2017-01-02,6
2017-01-03,16
2017-01-04,8
2017-01-05,12
2017-01-06,10
2017-01-07,18
2017-01-08,3
2017-01-09,13
2017-01-10,21
2017-01-11,21
2017-01-12,24
2017-01-13,37
2017-01-14,9
2017-01-15,11
2017-01-16,11
2017-01-17,20
2017-01-18,32
2017-01-19,67
2017-01-20,100
2017-01-21,35
2017-01-22,25
2017-01-23,53
2017-01-24,47
2017-01-25,46
2017-01-26,25
2017-01-27,22
2017-01-28,12
2017-01-29,12
2017-01-30,28
2017-01-31,36
2017-02-01,30
2017-02-02,14
2017-02-03,23
2017-02-04,15
2017-02-05,7
2017-02-06,22
2017-02-07,14
2017-02-08,16
2017-02-09,26
2017-02-10,18
2017-02-11,12
2017-02-12,6
2017-02-13,13
2017-02-14,29
2017-02-15,20
2017-02-16,12
2017-02-17,30
2017-02-18,15
2017-02-19,11
2017-02-20,15
2017-02-21,26
2017-02-22,13
2017-02-23,12
2017-02-24,18
2017-02-25,15
2017-02-26,14
2017-02-27,23
2017-02-28,23
2017-03-01,25
2017-03-02,16
2017-03-03,24
2017-03-04,18
2017-03-05,15
2017-03-06,12
2017-03-07,14
2017-03-08,14
2017-03-09,19
2017-03-10,26
2017-03-11,18
2017-03-12,10
2017-03-13,8
2017-03-14,22
2017-03-15,37
2017-03-16,25
2017-03-17,17
2017-03-18,6
2017-03-19,12
2017-03-20,31
2017-03-21,26
2017-03-22,26
2017-03-23,24
2017-03-24,21
2017-03-25,14
2017-03-26,11
2017-03-27,16
2017-03-28,27
2017-03-29,21
2017-03-30,17
2017-03-31,12
2017-04-01,14
2017-04-02,19
2017-04-03,19
2017-04-04,32
2017-04-05,28
2017-04-06,27
2017-04-07,29
2017-04-08,16
2017-04-09,27
2017-04-10,12
2017-04-11,18
2017-04-12,16
2017-04-13,20
2017-04-14,11
2017-04-15,10
2017-04-16,16
2017-04-17,24
2017-04-18,20
