date,SWKS
2016-09-11,12
2016-09-12,16
2016-09-13,38
2016-09-14,41
2016-09-15,54
2016-09-16,50
2016-09-17,15
2016-09-18,8
2016-09-19,35
2016-09-20,31
2016-09-21,27
2016-09-22,20
2016-09-23,26
2016-09-24,7
2016-09-25,12
2016-09-26,36
2016-09-27,29
2016-09-28,34
2016-09-29,26
2016-09-30,24
2016-10-01,17
2016-10-02,5
2016-10-03,16
2016-10-04,31
2016-10-05,26
2016-10-06,19
2016-10-07,18
2016-10-08,5
2016-10-09,10
2016-10-10,33
2016-10-11,25
2016-10-12,35
2016-10-13,24
2016-10-14,21
2016-10-15,17
2016-10-16,10
2016-10-17,20
2016-10-18,25
2016-10-19,23
2016-10-20,25
2016-10-21,23
2016-10-22,13
2016-10-23,3
2016-10-24,16
2016-10-25,15
2016-10-26,14
2016-10-27,26
2016-10-28,25
2016-10-29,13
2016-10-30,13
2016-10-31,26
2016-11-01,19
2016-11-02,14
2016-11-03,27
2016-11-04,26
2016-11-05,10
2016-11-06,14
2016-11-07,23
2016-11-08,11
2016-11-09,25
2016-11-10,13
2016-11-11,25
2016-11-12,6
2016-11-13,13
2016-11-14,33
2016-11-15,18
2016-11-16,32
2016-11-17,24
2016-11-18,16
2016-11-19,24
2016-11-20,16
2016-11-21,24
2016-11-22,15
2016-11-23,14
2016-11-24,12
2016-11-25,7
2016-11-26,11
2016-11-27,13
2016-11-28,20
2016-11-29,19
2016-11-30,32
2016-12-01,13
2016-12-02,17
2016-12-03,11
2016-12-04,6
2016-12-05,20
2016-12-06,26
2016-12-07,21
2016-12-08,21
2016-12-09,24
2016-12-10,13
2016-12-11,18
2016-12-12,19
2016-12-13,17
2016-12-14,18
2016-12-15,18
2016-12-16,21
2016-12-17,8
2016-12-18,10
2016-12-19,13
2016-12-20,19
2016-12-21,22
2016-12-22,24
2016-12-23,8
2016-12-24,16
2016-12-25,9
2016-12-26,11
2016-12-27,9
2016-12-28,26
2016-12-29,21
2016-12-30,19
2016-12-31,14
2017-01-01,7
2017-01-02,12
2017-01-03,14
2017-01-04,11
2017-01-05,17
2017-01-06,20
2017-01-07,17
2017-01-08,9
2017-01-09,14
2017-01-10,28
2017-01-11,26
2017-01-12,24
2017-01-13,29
2017-01-14,14
2017-01-15,14
2017-01-16,3
2017-01-17,15
2017-01-18,22
2017-01-19,65
2017-01-20,100
2017-01-21,36
2017-01-22,14
2017-01-23,41
2017-01-24,50
2017-01-25,41
2017-01-26,31
2017-01-27,41
2017-01-28,8
2017-01-29,19
2017-01-30,21
2017-01-31,26
2017-02-01,39
2017-02-02,30
2017-02-03,25
2017-02-04,23
2017-02-05,12
2017-02-06,30
2017-02-07,24
2017-02-08,19
2017-02-09,21
2017-02-10,29
2017-02-11,11
2017-02-12,9
2017-02-13,17
2017-02-14,20
2017-02-15,28
2017-02-16,22
2017-02-17,32
2017-02-18,14
2017-02-19,14
2017-02-20,23
2017-02-21,21
2017-02-22,20
2017-02-23,20
2017-02-24,24
2017-02-25,6
2017-02-26,11
2017-02-27,23
2017-02-28,16
2017-03-01,17
2017-03-02,13
2017-03-03,18
2017-03-04,12
2017-03-05,9
2017-03-06,13
2017-03-07,25
2017-03-08,10
2017-03-09,13
2017-03-10,12
2017-03-11,11
2017-03-12,6
2017-03-13,13
2017-03-14,18
2017-03-15,39
2017-03-16,12
2017-03-17,28
2017-03-18,11
2017-03-19,3
2017-03-20,21
2017-03-21,23
2017-03-22,21
2017-03-23,19
2017-03-24,13
2017-03-25,9
2017-03-26,14
2017-03-27,21
2017-03-28,15
2017-03-29,15
2017-03-30,29
2017-03-31,13
2017-04-01,11
