date,FAST,isPartial
2015-04-10,86,False
2015-04-11,98,False
2015-04-12,100,False
2015-04-13,70,False
2015-04-14,62,False
2015-04-15,57,False
2015-04-16,55,False
2015-04-17,57,False
2015-04-18,67,False
2015-04-19,68,False
2015-04-20,49,False
2015-04-21,46,False
2015-04-22,43,False
2015-04-23,44,False
2015-04-24,50,False
2015-04-25,56,False
2015-04-26,53,False
2015-04-27,43,False
2015-04-28,41,False
2015-04-29,40,False
2015-04-30,41,False
2015-05-01,45,False
2015-05-02,45,False
2015-05-03,43,False
2015-05-04,37,False
2015-05-05,36,False
2015-05-06,34,False
2015-05-07,34,False
2015-05-08,35,False
2015-05-09,39,False
2015-05-10,41,False
2015-05-11,35,False
2015-05-12,34,False
2015-05-13,35,False
2015-05-14,37,False
2015-05-15,35,False
2015-05-16,41,False
2015-05-17,40,False
2015-05-18,34,False
2015-05-19,33,False
2015-05-20,33,False
2015-05-21,32,False
2015-05-22,35,False
2015-05-23,36,False
2015-05-24,39,False
2015-05-25,34,False
2015-05-26,32,False
2015-05-27,31,False
2015-05-28,30,False
2015-05-29,33,False
2015-05-30,36,False
2015-05-31,36,False
2015-06-01,31,False
2015-06-02,31,False
2015-06-03,31,False
2015-06-04,31,False
2015-06-05,32,False
2015-06-06,35,False
2015-06-07,35,False
2015-06-08,31,False
2015-06-09,30,False
2015-06-10,29,False
2015-06-11,31,False
2015-06-12,32,False
2015-06-13,35,False
2015-06-14,34,False
2015-06-15,30,False
2015-06-16,30,False
2015-06-17,31,False
2015-06-18,33,False
2015-06-19,32,False
2015-06-20,36,False
2015-06-21,35,False
2015-06-22,31,False
2015-06-23,31,False
2015-06-24,32,False
2015-06-25,32,False
2015-06-26,31,False
2015-06-27,36,False
2015-06-28,34,False
2015-06-29,30,False
2015-06-30,30,False
2015-07-01,30,False
2015-07-02,29,False
2015-07-03,30,False
2015-07-04,33,False
2015-07-05,33,False
2015-07-06,29,False
2015-07-07,29,False
2015-07-08,29,False
2015-07-09,30,False
2015-07-10,29,False
2015-07-11,33,False
2015-07-12,34,False
2015-07-13,30,False
2015-07-14,29,False
2015-07-15,30,False
2015-07-16,29,False
2015-07-17,31,False
2015-07-18,32,False
2015-07-19,32,False
2015-07-20,30,False
2015-07-21,29,False
2015-07-22,30,False
2015-07-23,30,False
2015-07-24,30,False
2015-07-25,31,False
2015-07-26,33,False
2015-07-27,30,False
2015-07-28,29,False
2015-07-29,29,False
2015-07-30,28,False
2015-07-31,29,False
2015-08-01,31,False
2015-08-02,33,False
2015-08-03,29,False
2015-08-04,29,False
2015-08-05,28,False
2015-08-06,29,False
2015-08-07,28,False
2015-08-08,30,False
2015-08-09,31,False
2015-08-10,29,False
2015-08-11,28,False
2015-08-12,27,False
2015-08-13,26,False
2015-08-14,28,False
2015-08-15,31,False
2015-08-16,31,False
2015-08-17,28,False
2015-08-18,27,False
2015-08-19,27,False
2015-08-20,27,False
2015-08-21,27,False
2015-08-22,27,False
2015-08-23,29,False
2015-08-24,25,False
2015-08-25,25,False
2015-08-26,25,False
2015-08-27,25,False
2015-08-28,27,False
2015-08-29,28,False
2015-08-30,28,False
2015-08-31,26,False
2015-09-01,25,False
2015-09-02,25,False
2015-09-03,25,False
2015-09-04,25,False
2015-09-05,28,False
2015-09-06,28,False
2015-09-07,26,False
2015-09-08,25,False
2015-09-09,24,False
2015-09-10,25,False
2015-09-11,26,False
2015-09-12,27,False
2015-09-13,31,False
2015-09-14,26,False
2015-09-15,27,False
2015-09-16,27,False
2015-09-17,26,False
2015-09-18,26,False
2015-09-19,29,False
2015-09-20,29,False
2015-09-21,26,False
2015-09-22,26,False
2015-09-23,26,False
2015-09-24,25,False
2015-09-25,25,False
2015-09-26,27,False
2015-09-27,31,False
2015-09-28,26,False
2015-09-29,25,False
2015-09-30,24,False
2015-10-01,24,False
2015-10-02,25,False
2015-10-03,26,False
2015-10-04,26,False
2015-10-05,24,False
2015-10-06,24,False
2015-10-07,24,False
2015-10-08,25,False
2015-10-09,24,False
2015-10-10,26,False
2015-10-11,26,False
2015-10-12,25,False
2015-10-13,25,False
2015-10-14,23,False
2015-10-15,24,False
2015-10-16,24,False
2015-10-17,26,False
2015-10-18,26,False
2015-10-19,23,False
2015-10-20,24,False
2015-10-21,23,False
2015-10-22,23,False
2015-10-23,24,False
2015-10-24,26,False
2015-10-25,26,False
2015-10-26,23,False
2015-10-27,24,False
2015-10-28,23,False
2015-10-29,25,False
2015-10-30,24,False
2015-10-31,23,False
2015-11-01,25,False
2015-11-02,24,False
2015-11-03,24,False
2015-11-04,24,False
2015-11-05,23,False
2015-11-06,24,False
2015-11-07,25,False
2015-11-08,26,False
2015-11-09,24,False
2015-11-10,24,False
2015-11-11,24,False
2015-11-12,23,False
2015-11-13,24,False
2015-11-14,24,False
2015-11-15,25,False
2015-11-16,24,False
2015-11-17,23,False
2015-11-18,22,False
2015-11-19,23,False
2015-11-20,24,False
2015-11-21,24,False
2015-11-22,26,False
2015-11-23,24,False
2015-11-24,23,False
2015-11-25,23,False
2015-11-26,24,False
2015-11-27,26,False
2015-11-28,25,False
2015-11-29,25,False
2015-11-30,23,False
2015-12-01,23,False
2015-12-02,22,False
2015-12-03,22,False
2015-12-04,23,False
2015-12-05,25,False
2015-12-06,25,False
2015-12-07,23,False
2015-12-08,24,False
2015-12-09,23,False
2015-12-10,23,False
2015-12-11,23,False
2015-12-12,25,False
2015-12-13,25,False
2015-12-14,24,False
2015-12-15,23,False
2015-12-16,23,False
2015-12-17,22,False
2015-12-18,23,False
2015-12-19,25,False
2015-12-20,24,False
2015-12-21,23,False
2015-12-22,24,False
2015-12-23,23,False
2015-12-24,24,False
2015-12-25,28,False
2015-12-26,28,False
