date,FAST,isPartial
2011-09-18,88,False
2011-09-19,82,False
2011-09-20,77,False
2011-09-21,78,False
2011-09-22,78,False
2011-09-23,80,False
2011-09-24,90,False
2011-09-25,94,False
2011-09-26,83,False
2011-09-27,81,False
2011-09-28,81,False
2011-09-29,81,False
2011-09-30,79,False
2011-10-01,88,False
2011-10-02,99,False
2011-10-03,85,False
2011-10-04,89,False
2011-10-05,91,False
2011-10-06,88,False
2011-10-07,90,False
2011-10-08,100,False
2011-10-09,98,False
2011-10-10,89,False
2011-10-11,87,False
2011-10-12,83,False
2011-10-13,78,False
2011-10-14,78,False
2011-10-15,82,False
2011-10-16,86,False
2011-10-17,81,False
2011-10-18,77,False
2011-10-19,75,False
2011-10-20,73,False
2011-10-21,72,False
2011-10-22,80,False
2011-10-23,90,False
2011-10-24,78,False
2011-10-25,78,False
2011-10-26,78,False
2011-10-27,75,False
2011-10-28,72,False
2011-10-29,76,False
2011-10-30,81,False
2011-10-31,80,False
2011-11-01,77,False
2011-11-02,77,False
2011-11-03,77,False
2011-11-04,76,False
2011-11-05,78,False
2011-11-06,78,False
2011-11-07,75,False
2011-11-08,76,False
2011-11-09,71,False
2011-11-10,74,False
2011-11-11,72,False
2011-11-12,77,False
2011-11-13,80,False
2011-11-14,73,False
2011-11-15,72,False
2011-11-16,78,False
2011-11-17,73,False
2011-11-18,73,False
2011-11-19,77,False
2011-11-20,80,False
2011-11-21,71,False
2011-11-22,73,False
2011-11-23,71,False
2011-11-24,68,False
2011-11-25,73,False
2011-11-26,76,False
2011-11-27,79,False
2011-11-28,71,False
2011-11-29,74,False
2011-11-30,70,False
2011-12-01,71,False
2011-12-02,72,False
2011-12-03,78,False
2011-12-04,79,False
2011-12-05,75,False
2011-12-06,73,False
2011-12-07,72,False
2011-12-08,73,False
2011-12-09,72,False
2011-12-10,74,False
2011-12-11,73,False
2011-12-12,69,False
2011-12-13,72,False
2011-12-14,71,False
2011-12-15,70,False
2011-12-16,71,False
2011-12-17,72,False
2011-12-18,74,False
2011-12-19,69,False
2011-12-20,74,False
2011-12-21,69,False
2011-12-22,70,False
2011-12-23,67,False
2011-12-24,72,False
2011-12-25,76,False
2011-12-26,74,False
2011-12-27,77,False
2011-12-28,80,False
2011-12-29,79,False
2011-12-30,77,False
2011-12-31,78,False
2012-01-01,83,False
2012-01-02,85,False
2012-01-03,81,False
2012-01-04,81,False
2012-01-05,81,False
2012-01-06,81,False
2012-01-07,85,False
2012-01-08,84,False
2012-01-09,80,False
2012-01-10,74,False
2012-01-11,76,False
2012-01-12,77,False
2012-01-13,77,False
2012-01-14,84,False
2012-01-15,83,False
2012-01-16,78,False
2012-01-17,76,False
2012-01-18,75,False
2012-01-19,76,False
2012-01-20,75,False
2012-01-21,82,False
2012-01-22,84,False
2012-01-23,77,False
