date,stock
2014-12-01,61
2014-12-02,66
2014-12-03,64
2014-12-04,63
2014-12-05,61
2014-12-06,42
2014-12-07,38
2014-12-08,63
2014-12-09,64
2014-12-10,62
2014-12-11,63
2014-12-12,62
2014-12-13,43
2014-12-14,38
2014-12-15,65
2014-12-16,67
2014-12-17,67
2014-12-18,67
2014-12-19,65
2014-12-20,42
2014-12-21,38
2014-12-22,60
2014-12-23,66
2014-12-24,60
2014-12-25,38
2014-12-26,53
2014-12-27,42
2014-12-28,38
2014-12-29,57
2014-12-30,61
2014-12-31,60
2015-01-01,43
2015-01-02,56
2015-01-03,42
2015-01-04,38
2015-01-05,62
2015-01-06,68
2015-01-07,64
2015-01-08,65
2015-01-09,62
2015-01-10,42
2015-01-11,39
2015-01-12,60
2015-01-13,64
2015-01-14,65
2015-01-15,66
2015-01-16,64
2015-01-17,43
2015-01-18,40
2015-01-19,54
2015-01-20,62
2015-01-21,64
2015-01-22,66
2015-01-23,65
2015-01-24,44
2015-01-25,40
2015-01-26,58
2015-01-27,67
2015-01-28,70
2015-01-29,68
2015-01-30,67
2015-01-31,44
2015-02-01,38
2015-02-02,58
2015-02-03,67
2015-02-04,68
2015-02-05,68
2015-02-06,69
2015-02-07,43
2015-02-08,39
2015-02-09,62
2015-02-10,66
2015-02-11,67
2015-02-12,67
2015-02-13,66
2015-02-14,43
2015-02-15,40
2015-02-16,56
2015-02-17,64
2015-02-18,65
2015-02-19,64
2015-02-20,64
2015-02-21,44
2015-02-22,39
2015-02-23,62
2015-02-24,66
2015-02-25,66
2015-02-26,66
2015-02-27,62
2015-02-28,43
2015-03-01,39
2015-03-02,65
2015-03-03,67
2015-03-04,66
2015-03-05,65
2015-03-06,63
2015-03-07,41
2015-03-08,38
2015-03-09,63
2015-03-10,65
2015-03-11,64
2015-03-12,63
2015-03-13,61
2015-03-14,40
2015-03-15,37
2015-03-16,60
2015-03-17,62
2015-03-18,64
2015-03-19,63
2015-03-20,61
2015-03-21,41
2015-03-22,38
2015-03-23,61
2015-03-24,62
2015-03-25,59
2015-03-26,61
2015-03-27,58
2015-03-28,39
2015-03-29,35
2015-03-30,60
2015-03-31,63
2015-04-01,61
2015-04-02,62
2015-04-03,54
2015-04-04,38
2015-04-05,36
2015-04-06,59
2015-04-07,62
2015-04-08,64
2015-04-09,64
2015-04-10,63
2015-04-11,41
2015-04-12,38
2015-04-13,60
2015-04-14,63
2015-04-15,66
2015-04-16,67
2015-04-17,65
2015-04-18,40
2015-04-19,38
2015-04-20,62
2015-04-21,67
2015-04-22,65
2015-04-23,67
2015-04-24,67
2015-04-25,42
2015-04-26,39
2015-04-27,65
2015-04-28,66
2015-04-29,66
2015-04-30,66
2015-05-01,65
2015-05-02,39
2015-05-03,35
2015-05-04,59
2015-05-05,63
2015-05-06,63
2015-05-07,63
2015-05-08,62
2015-05-09,40
2015-05-10,36
2015-05-11,60
2015-05-12,62
2015-05-13,60
2015-05-14,61
2015-05-15,60
2015-05-16,38
2015-05-17,35
2015-05-18,57
2015-05-19,60
2015-05-20,60
2015-05-21,60
2015-05-22,57
2015-05-23,37
2015-05-24,34
2015-05-25,41
2015-05-26,56
2015-05-27,58
2015-05-28,59
2015-05-29,57
2015-05-30,37
2015-05-31,36
2015-06-01,56
2015-06-02,58
2015-06-03,59
2015-06-04,59
2015-06-05,56
2015-06-06,37
2015-06-07,34
2015-06-08,54
2015-06-09,58
2015-06-10,60
2015-06-11,59
2015-06-12,56
2015-06-13,36
2015-06-14,35
2015-06-15,54
2015-06-16,58
2015-06-17,57
2015-06-18,61
2015-06-19,57
2015-06-20,37
2015-06-21,35
2015-06-22,59
2015-06-23,61
2015-06-24,61
2015-06-25,59
2015-06-26,57
2015-06-27,38
2015-06-28,37
2015-06-29,67
2015-06-30,67
2015-07-01,61
2015-07-02,60
2015-07-03,49
2015-07-04,36
2015-07-05,36
2015-07-06,66
2015-07-07,66
2015-07-08,100
2015-07-09,80
2015-07-10,65
2015-07-11,41
2015-07-12,37
2015-07-13,62
2015-07-14,64
2015-07-15,63
2015-07-16,65
2015-07-17,66
2015-07-18,42
2015-07-19,37
2015-07-20,66
2015-07-21,68
2015-07-22,69
2015-07-23,68
2015-07-24,67
2015-07-25,42
2015-07-26,39
2015-07-27,66
2015-07-28,71
2015-07-29,68
2015-07-30,67
2015-07-31,63
2015-08-01,41
2015-08-02,37
2015-08-03,64
2015-08-04,67
2015-08-05,70
2015-08-06,69
2015-08-07,62
2015-08-08,40
2015-08-09,39
2015-08-10,64
2015-08-11,69
2015-08-12,69
2015-08-13,65
2015-08-14,60
2015-08-15,40
2015-08-16,38
2015-08-17,61
2015-08-18,64
