date,stock
2015-12-26,27
2015-12-27,29
2015-12-28,41
2015-12-29,43
2015-12-30,42
2015-12-31,42
2016-01-01,29
2016-01-02,27
2016-01-03,26
2016-01-04,51
2016-01-05,52
2016-01-06,52
2016-01-07,64
2016-01-08,60
2016-01-09,34
2016-01-10,30
2016-01-11,50
2016-01-12,53
2016-01-13,53
2016-01-14,54
2016-01-15,61
2016-01-16,38
2016-01-17,32
2016-01-18,46
2016-01-19,54
2016-01-20,63
2016-01-21,59
2016-01-22,53
2016-01-23,32
2016-01-24,29
2016-01-25,48
2016-01-26,52
2016-01-27,53
2016-01-28,55
2016-01-29,53
2016-01-30,33
2016-01-31,29
2016-02-01,48
2016-02-02,51
2016-02-03,51
2016-02-04,51
2016-02-05,51
2016-02-06,33
2016-02-07,27
2016-02-08,50
2016-02-09,55
2016-02-10,52
2016-02-11,57
2016-02-12,53
2016-02-13,31
2016-02-14,26
2016-02-15,41
2016-02-16,49
2016-02-17,51
2016-02-18,50
2016-02-19,46
2016-02-20,29
2016-02-21,26
2016-02-22,47
2016-02-23,50
2016-02-24,49
2016-02-25,48
2016-02-26,47
2016-02-27,29
2016-02-28,27
2016-02-29,44
2016-03-01,49
2016-03-02,49
2016-03-03,50
2016-03-04,48
2016-03-05,31
2016-03-06,27
2016-03-07,47
2016-03-08,48
2016-03-09,47
2016-03-10,47
2016-03-11,46
2016-03-12,29
2016-03-13,26
2016-03-14,44
2016-03-15,46
2016-03-16,46
2016-03-17,47
2016-03-18,46
2016-03-19,28
2016-03-20,27
2016-03-21,47
2016-03-22,46
2016-03-23,45
2016-03-24,45
2016-03-25,38
2016-03-26,25
2016-03-27,24
2016-03-28,42
2016-03-29,45
2016-03-30,46
2016-03-31,46
2016-04-01,48
2016-04-02,29
2016-04-03,27
2016-04-04,46
2016-04-05,45
2016-04-06,46
2016-04-07,46
2016-04-08,45
2016-04-09,29
2016-04-10,27
2016-04-11,45
2016-04-12,47
2016-04-13,49
2016-04-14,46
2016-04-15,44
2016-04-16,27
2016-04-17,25
2016-04-18,46
2016-04-19,49
2016-04-20,48
2016-04-21,48
2016-04-22,47
2016-04-23,28
2016-04-24,26
2016-04-25,44
2016-04-26,48
2016-04-27,52
2016-04-28,55
2016-04-29,50
2016-04-30,30
2016-05-01,28
2016-05-02,47
2016-05-03,48
2016-05-04,47
2016-05-05,47
2016-05-06,45
2016-05-07,27
2016-05-08,25
2016-05-09,44
2016-05-10,47
2016-05-11,47
2016-05-12,45
2016-05-13,44
2016-05-14,27
2016-05-15,25
2016-05-16,44
2016-05-17,46
2016-05-18,45
2016-05-19,45
2016-05-20,42
2016-05-21,27
2016-05-22,25
2016-05-23,40
2016-05-24,45
2016-05-25,45
2016-05-26,45
2016-05-27,42
2016-05-28,26
2016-05-29,23
2016-05-30,29
2016-05-31,40
2016-06-01,43
2016-06-02,42
2016-06-03,41
2016-06-04,26
2016-06-05,24
2016-06-06,40
2016-06-07,44
2016-06-08,44
2016-06-09,42
2016-06-10,41
2016-06-11,25
2016-06-12,23
2016-06-13,44
2016-06-14,45
2016-06-15,44
2016-06-16,42
2016-06-17,40
2016-06-18,27
2016-06-19,24
2016-06-20,41
2016-06-21,43
2016-06-22,43
2016-06-23,44
2016-06-24,100
2016-06-25,40
2016-06-26,30
2016-06-27,60
2016-06-28,56
2016-06-29,51
2016-06-30,49
2016-07-01,45
2016-07-02,27
2016-07-03,24
2016-07-04,29
2016-07-05,41
2016-07-06,44
2016-07-07,44
2016-07-08,44
2016-07-09,28
2016-07-10,25
2016-07-11,51
2016-07-12,56
2016-07-13,53
2016-07-14,54
2016-07-15,48
2016-07-16,31
2016-07-17,28
2016-07-18,48
2016-07-19,51
2016-07-20,51
2016-07-21,49
2016-07-22,46
2016-07-23,29
2016-07-24,28
2016-07-25,49
2016-07-26,50
2016-07-27,51
2016-07-28,51
2016-07-29,47
2016-07-30,29
2016-07-31,26
2016-08-01,44
2016-08-02,47
2016-08-03,47
2016-08-04,48
2016-08-05,46
2016-08-06,28
2016-08-07,25
2016-08-08,43
2016-08-09,46
2016-08-10,44
2016-08-11,46
2016-08-12,42
2016-08-13,26
2016-08-14,24
2016-08-15,42
2016-08-16,45
2016-08-17,44
2016-08-18,43
2016-08-19,42
2016-08-20,27
2016-08-21,25
2016-08-22,42
2016-08-23,46
2016-08-24,45
2016-08-25,43
2016-08-26,43
2016-08-27,27
2016-08-28,26
2016-08-29,41
2016-08-30,44
2016-08-31,44
2016-09-01,43
2016-09-02,42
2016-09-03,26
2016-09-04,24
2016-09-05,28
2016-09-06,43
2016-09-07,48
2016-09-08,48
2016-09-09,48
2016-09-10,29
2016-09-11,26
