date,stock
2014-07-24,80
2014-07-25,76
2014-07-26,50
2014-07-27,44
2014-07-28,71
2014-07-29,76
2014-07-30,78
2014-07-31,80
2014-08-01,80
2014-08-02,49
2014-08-03,48
2014-08-04,71
2014-08-05,75
2014-08-06,75
2014-08-07,75
2014-08-08,70
2014-08-09,46
2014-08-10,43
2014-08-11,68
2014-08-12,69
2014-08-13,68
2014-08-14,71
2014-08-15,68
2014-08-16,46
2014-08-17,45
2014-08-18,70
2014-08-19,75
2014-08-20,72
2014-08-21,73
2014-08-22,70
2014-08-23,46
2014-08-24,44
2014-08-25,68
2014-08-26,74
2014-08-27,73
2014-08-28,71
2014-08-29,66
2014-08-30,46
2014-08-31,43
2014-09-01,50
2014-09-02,70
2014-09-03,77
2014-09-04,74
2014-09-05,73
2014-09-06,48
2014-09-07,45
2014-09-08,72
2014-09-09,85
2014-09-10,81
2014-09-11,77
2014-09-12,73
2014-09-13,48
2014-09-14,46
2014-09-15,76
2014-09-16,79
2014-09-17,79
2014-09-18,80
2014-09-19,100
2014-09-20,57
2014-09-21,48
2014-09-22,80
2014-09-23,82
2014-09-24,79
2014-09-25,81
2014-09-26,76
2014-09-27,49
2014-09-28,48
2014-09-29,75
2014-09-30,79
2014-10-01,81
2014-10-02,78
2014-10-03,76
2014-10-04,50
2014-10-05,45
2014-10-06,71
2014-10-07,77
2014-10-08,78
2014-10-09,84
2014-10-10,83
2014-10-11,52
2014-10-12,49
2014-10-13,80
2014-10-14,85
2014-10-15,94
2014-10-16,93
2014-10-17,81
2014-10-18,51
2014-10-19,48
2014-10-20,77
2014-10-21,84
2014-10-22,80
2014-10-23,81
2014-10-24,79
2014-10-25,47
2014-10-26,46
2014-10-27,74
2014-10-28,82
2014-10-29,85
2014-10-30,82
2014-10-31,81
2014-11-01,51
2014-11-02,49
2014-11-03,79
2014-11-04,80
2014-11-05,83
2014-11-06,84
2014-11-07,83
2014-11-08,55
2014-11-09,52
2014-11-10,80
2014-11-11,82
2014-11-12,82
2014-11-13,83
2014-11-14,81
2014-11-15,53
2014-11-16,49
2014-11-17,78
2014-11-18,83
2014-11-19,83
2014-11-20,82
2014-11-21,80
2014-11-22,53
2014-11-23,50
2014-11-24,75
2014-11-25,79
2014-11-26,75
2014-11-27,60
2014-11-28,69
2014-11-29,54
2014-11-30,53
2014-12-01,80
2014-12-02,84
2014-12-03,83
2014-12-04,81
2014-12-05,78
2014-12-06,53
2014-12-07,49
2014-12-08,80
2014-12-09,80
2014-12-10,81
2014-12-11,82
2014-12-12,80
2014-12-13,54
2014-12-14,48
2014-12-15,82
2014-12-16,85
2014-12-17,86
2014-12-18,87
2014-12-19,82
2014-12-20,53
2014-12-21,48
2014-12-22,76
2014-12-23,85
2014-12-24,77
2014-12-25,48
2014-12-26,67
2014-12-27,52
2014-12-28,49
2014-12-29,73
2014-12-30,77
2014-12-31,78
2015-01-01,56
2015-01-02,73
2015-01-03,54
2015-01-04,49
2015-01-05,80
2015-01-06,86
2015-01-07,81
2015-01-08,82
2015-01-09,77
2015-01-10,54
2015-01-11,51
2015-01-12,76
2015-01-13,82
2015-01-14,85
2015-01-15,85
2015-01-16,81
2015-01-17,55
2015-01-18,51
2015-01-19,70
2015-01-20,78
2015-01-21,83
2015-01-22,84
2015-01-23,84
2015-01-24,57
2015-01-25,51
2015-01-26,75
2015-01-27,86
2015-01-28,91
2015-01-29,89
2015-01-30,87
2015-01-31,57
2015-02-01,49
2015-02-02,76
2015-02-03,85
2015-02-04,88
2015-02-05,88
2015-02-06,87
2015-02-07,55
2015-02-08,49
2015-02-09,79
2015-02-10,82
2015-02-11,85
2015-02-12,87
2015-02-13,87
2015-02-14,55
2015-02-15,50
2015-02-16,71
2015-02-17,81
2015-02-18,84
2015-02-19,82
2015-02-20,82
2015-02-21,55
2015-02-22,51
2015-02-23,79
2015-02-24,85
2015-02-25,86
2015-02-26,86
2015-02-27,80
2015-02-28,55
2015-03-01,49
2015-03-02,84
2015-03-03,86
2015-03-04,84
2015-03-05,82
2015-03-06,80
2015-03-07,53
2015-03-08,49
2015-03-09,79
2015-03-10,84
2015-03-11,81
2015-03-12,82
2015-03-13,77
2015-03-14,52
2015-03-15,47
2015-03-16,78
2015-03-17,81
2015-03-18,82
2015-03-19,81
2015-03-20,78
2015-03-21,51
2015-03-22,49
2015-03-23,79
2015-03-24,79
2015-03-25,76
2015-03-26,78
2015-03-27,76
2015-03-28,49
2015-03-29,46
2015-03-30,76
2015-03-31,80
2015-04-01,79
2015-04-02,79
2015-04-03,69
2015-04-04,48
2015-04-05,47
2015-04-06,75
2015-04-07,79
2015-04-08,80
2015-04-09,82
2015-04-10,80
