date,stock
2012-06-04,78
2012-06-05,75
2012-06-06,78
2012-06-07,76
2012-06-08,68
2012-06-09,47
2012-06-10,45
2012-06-11,70
2012-06-12,73
2012-06-13,68
2012-06-14,69
2012-06-15,65
2012-06-16,47
2012-06-17,45
2012-06-18,68
2012-06-19,70
2012-06-20,69
2012-06-21,70
2012-06-22,67
2012-06-23,46
2012-06-24,45
2012-06-25,66
2012-06-26,68
2012-06-27,69
2012-06-28,70
2012-06-29,70
2012-06-30,48
2012-07-01,46
2012-07-02,66
2012-07-03,72
2012-07-04,53
2012-07-05,64
2012-07-06,65
2012-07-07,48
2012-07-08,45
2012-07-09,65
2012-07-10,69
2012-07-11,70
2012-07-12,68
2012-07-13,67
2012-07-14,47
2012-07-15,47
2012-07-16,67
2012-07-17,72
2012-07-18,73
2012-07-19,72
2012-07-20,68
2012-07-21,47
2012-07-22,46
2012-07-23,68
2012-07-24,72
2012-07-25,74
2012-07-26,80
2012-07-27,79
2012-07-28,50
2012-07-29,46
2012-07-30,69
2012-07-31,71
2012-08-01,71
2012-08-02,73
2012-08-03,71
2012-08-04,47
2012-08-05,45
2012-08-06,67
2012-08-07,72
2012-08-08,70
2012-08-09,70
2012-08-10,68
2012-08-11,48
2012-08-12,45
2012-08-13,67
2012-08-14,71
2012-08-15,70
2012-08-16,76
2012-08-17,73
2012-08-18,50
2012-08-19,46
2012-08-20,71
2012-08-21,78
2012-08-22,73
2012-08-23,71
2012-08-24,68
2012-08-25,52
2012-08-26,46
2012-08-27,71
2012-08-28,71
2012-08-29,69
2012-08-30,69
2012-08-31,65
2012-09-01,47
2012-09-02,45
2012-09-03,54
2012-09-04,70
2012-09-05,72
2012-09-06,77
2012-09-07,76
2012-09-08,51
2012-09-09,49
2012-09-10,72
2012-09-11,76
2012-09-12,81
2012-09-13,83
2012-09-14,79
2012-09-15,54
2012-09-16,51
2012-09-17,78
2012-09-18,79
2012-09-19,80
2012-09-20,78
2012-09-21,76
2012-09-22,56
2012-09-23,52
2012-09-24,77
2012-09-25,79
2012-09-26,76
2012-09-27,77
2012-09-28,75
2012-09-29,51
2012-09-30,50
2012-10-01,77
2012-10-02,77
2012-10-03,77
2012-10-04,76
2012-10-05,76
2012-10-06,50
2012-10-07,50
2012-10-08,75
2012-10-09,75
2012-10-10,76
2012-10-11,74
2012-10-12,71
2012-10-13,52
2012-10-14,51
2012-10-15,73
2012-10-16,76
2012-10-17,75
2012-10-18,83
2012-10-19,81
2012-10-20,52
2012-10-21,51
2012-10-22,74
2012-10-23,80
2012-10-24,79
2012-10-25,78
2012-10-26,74
2012-10-27,48
2012-10-28,47
2012-10-29,70
2012-10-30,74
2012-10-31,77
2012-11-01,76
2012-11-02,74
2012-11-03,50
2012-11-04,47
2012-11-05,71
2012-11-06,74
2012-11-07,100
2012-11-08,93
2012-11-09,83
2012-11-10,52
2012-11-11,50
2012-11-12,74
2012-11-13,78
2012-11-14,79
2012-11-15,82
2012-11-16,78
2012-11-17,51
2012-11-18,50
2012-11-19,77
2012-11-20,78
2012-11-21,74
2012-11-22,60
2012-11-23,66
2012-11-24,52
2012-11-25,50
2012-11-26,73
2012-11-27,78
2012-11-28,77
2012-11-29,79
2012-11-30,76
2012-12-01,52
2012-12-02,49
2012-12-03,73
2012-12-04,76
2012-12-05,78
2012-12-06,81
2012-12-07,75
2012-12-08,53
2012-12-09,50
2012-12-10,72
2012-12-11,78
2012-12-12,75
2012-12-13,74
2012-12-14,70
2012-12-15,50
2012-12-16,47
2012-12-17,71
2012-12-18,77
2012-12-19,79
2012-12-20,75
2012-12-21,73
2012-12-22,51
2012-12-23,49
2012-12-24,65
2012-12-25,48
2012-12-26,66
2012-12-27,72
2012-12-28,72
2012-12-29,53
2012-12-30,49
2012-12-31,76
2013-01-01,58
2013-01-02,85
2013-01-03,83
2013-01-04,79
2013-01-05,57
2013-01-06,52
2013-01-07,76
2013-01-08,79
2013-01-09,80
2013-01-10,80
2013-01-11,81
2013-01-12,57
2013-01-13,53
2013-01-14,80
2013-01-15,86
2013-01-16,86
2013-01-17,84
2013-01-18,81
2013-01-19,60
2013-01-20,56
2013-01-21,72
2013-01-22,82
2013-01-23,86
2013-01-24,96
2013-01-25,92
2013-01-26,65
2013-01-27,57
2013-01-28,83
2013-01-29,89
2013-01-30,92
2013-01-31,88
2013-02-01,87
2013-02-02,62
2013-02-03,54
2013-02-04,80
2013-02-05,90
2013-02-06,87
2013-02-07,85
2013-02-08,82
2013-02-09,57
2013-02-10,55
2013-02-11,80
2013-02-12,84
2013-02-13,84
2013-02-14,85
2013-02-15,80
2013-02-16,57
2013-02-17,54
2013-02-18,72
2013-02-19,81
