date,stock
2016-09-11,18
2016-09-12,30
2016-09-13,31
2016-09-14,31
2016-09-15,31
2016-09-16,31
2016-09-17,19
2016-09-18,18
2016-09-19,30
2016-09-20,31
2016-09-21,31
2016-09-22,32
2016-09-23,32
2016-09-24,19
2016-09-25,18
2016-09-26,30
2016-09-27,31
2016-09-28,31
2016-09-29,32
2016-09-30,32
2016-10-01,19
2016-10-02,17
2016-10-03,30
2016-10-04,31
2016-10-05,31
2016-10-06,32
2016-10-07,30
2016-10-08,19
2016-10-09,17
2016-10-10,29
2016-10-11,32
2016-10-12,32
2016-10-13,31
2016-10-14,30
2016-10-15,19
2016-10-16,18
2016-10-17,30
2016-10-18,33
2016-10-19,31
2016-10-20,30
2016-10-21,30
2016-10-22,20
2016-10-23,18
2016-10-24,31
2016-10-25,32
2016-10-26,32
2016-10-27,34
2016-10-28,32
2016-10-29,19
2016-10-30,18
2016-10-31,30
2016-11-01,32
2016-11-02,33
2016-11-03,32
2016-11-04,31
2016-11-05,19
2016-11-06,18
2016-11-07,32
2016-11-08,32
2016-11-09,100
2016-11-10,50
2016-11-11,41
2016-11-12,23
2016-11-13,20
2016-11-14,36
2016-11-15,39
2016-11-16,38
2016-11-17,38
2016-11-18,35
2016-11-19,22
2016-11-20,20
2016-11-21,33
2016-11-22,37
2016-11-23,35
2016-11-24,26
2016-11-25,29
2016-11-26,21
2016-11-27,19
2016-11-28,31
2016-11-29,33
2016-11-30,36
2016-12-01,37
2016-12-02,34
2016-12-03,21
2016-12-04,19
2016-12-05,33
2016-12-06,36
2016-12-07,38
2016-12-08,38
2016-12-09,34
2016-12-10,22
2016-12-11,21
2016-12-12,34
2016-12-13,37
2016-12-14,37
2016-12-15,35
2016-12-16,34
2016-12-17,21
2016-12-18,19
2016-12-19,30
2016-12-20,34
2016-12-21,33
2016-12-22,32
2016-12-23,31
2016-12-24,21
2016-12-25,16
2016-12-26,24
2016-12-27,29
2016-12-28,32
2016-12-29,30
2016-12-30,31
2016-12-31,21
2017-01-01,18
2017-01-02,25
2017-01-03,33
2017-01-04,35
2017-01-05,35
2017-01-06,35
2017-01-07,22
2017-01-08,21
2017-01-09,32
2017-01-10,33
2017-01-11,34
2017-01-12,35
2017-01-13,34
2017-01-14,23
2017-01-15,21
2017-01-16,28
2017-01-17,33
2017-01-18,35
2017-01-19,34
2017-01-20,35
2017-01-21,23
2017-01-22,20
2017-01-23,34
2017-01-24,37
2017-01-25,41
2017-01-26,40
2017-01-27,36
2017-01-28,23
2017-01-29,20
2017-01-30,35
2017-01-31,40
2017-02-01,40
2017-02-02,39
2017-02-03,38
2017-02-04,23
2017-02-05,20
2017-02-06,33
2017-02-07,37
2017-02-08,37
2017-02-09,39
2017-02-10,38
2017-02-11,23
2017-02-12,21
2017-02-13,35
2017-02-14,37
2017-02-15,38
2017-02-16,39
2017-02-17,37
2017-02-18,23
2017-02-19,21
2017-02-20,28
2017-02-21,37
2017-02-22,38
2017-02-23,39
2017-02-24,36
2017-02-25,23
2017-02-26,21
2017-02-27,36
2017-02-28,39
2017-03-01,43
2017-03-02,50
2017-03-03,47
2017-03-04,27
2017-03-05,23
2017-03-06,37
2017-03-07,39
2017-03-08,38
2017-03-09,36
2017-03-10,36
2017-03-11,23
2017-03-12,20
2017-03-13,34
2017-03-14,36
2017-03-15,36
2017-03-16,36
2017-03-17,34
2017-03-18,22
2017-03-19,20
2017-03-20,33
2017-03-21,37
2017-03-22,38
2017-03-23,36
2017-03-24,34
2017-03-25,21
2017-03-26,19
2017-03-27,35
2017-03-28,37
2017-03-29,37
2017-03-30,37
2017-03-31,35
2017-04-01,22
