date,stock
2015-08-18,40
2015-08-19,41
2015-08-20,44
2015-08-21,55
2015-08-22,35
2015-08-23,29
2015-08-24,100
2015-08-25,90
2015-08-26,70
2015-08-27,56
2015-08-28,50
2015-08-29,29
2015-08-30,26
2015-08-31,44
2015-09-01,50
2015-09-02,50
2015-09-03,44
2015-09-04,41
2015-09-05,26
2015-09-06,24
2015-09-07,29
2015-09-08,43
2015-09-09,45
2015-09-10,43
2015-09-11,41
2015-09-12,25
2015-09-13,23
2015-09-14,41
2015-09-15,41
2015-09-16,42
2015-09-17,41
2015-09-18,41
2015-09-19,25
2015-09-20,23
2015-09-21,42
2015-09-22,47
2015-09-23,47
2015-09-24,46
2015-09-25,42
2015-09-26,26
2015-09-27,24
2015-09-28,42
2015-09-29,46
2015-09-30,44
2015-10-01,42
2015-10-02,40
2015-10-03,26
2015-10-04,24
2015-10-05,42
2015-10-06,44
2015-10-07,44
2015-10-08,43
2015-10-09,42
2015-10-10,28
2015-10-11,27
2015-10-12,42
2015-10-13,42
2015-10-14,42
2015-10-15,45
2015-10-16,41
2015-10-17,26
2015-10-18,24
2015-10-19,40
2015-10-20,43
2015-10-21,44
2015-10-22,45
2015-10-23,46
2015-10-24,27
2015-10-25,24
2015-10-26,41
2015-10-27,46
2015-10-28,47
2015-10-29,45
2015-10-30,41
2015-10-31,25
2015-11-01,23
2015-11-02,43
2015-11-03,46
2015-11-04,46
2015-11-05,46
2015-11-06,44
2015-11-07,28
2015-11-08,24
2015-11-09,40
2015-11-10,42
2015-11-11,40
2015-11-12,41
2015-11-13,40
2015-11-14,24
2015-11-15,23
2015-11-16,40
2015-11-17,41
2015-11-18,42
2015-11-19,45
2015-11-20,42
2015-11-21,26
2015-11-22,25
2015-11-23,39
2015-11-24,41
2015-11-25,38
2015-11-26,30
2015-11-27,33
2015-11-28,25
2015-11-29,24
2015-11-30,37
2015-12-01,43
2015-12-02,42
2015-12-03,41
2015-12-04,41
2015-12-05,27
2015-12-06,24
2015-12-07,40
2015-12-08,45
2015-12-09,43
2015-12-10,41
2015-12-11,41
2015-12-12,27
2015-12-13,25
2015-12-14,40
2015-12-15,42
2015-12-16,43
2015-12-17,44
2015-12-18,41
2015-12-19,27
2015-12-20,24
2015-12-21,39
2015-12-22,42
2015-12-23,41
2015-12-24,38
2015-12-25,25
2015-12-26,25
2015-12-27,27
2015-12-28,39
2015-12-29,39
2015-12-30,40
2015-12-31,39
2016-01-01,27
2016-01-02,25
2016-01-03,25
2016-01-04,48
2016-01-05,50
2016-01-06,48
2016-01-07,60
2016-01-08,57
2016-01-09,32
2016-01-10,28
2016-01-11,48
2016-01-12,48
2016-01-13,50
2016-01-14,51
2016-01-15,57
2016-01-16,35
2016-01-17,30
2016-01-18,43
2016-01-19,50
2016-01-20,59
2016-01-21,57
2016-01-22,49
2016-01-23,30
2016-01-24,28
2016-01-25,45
2016-01-26,49
2016-01-27,50
2016-01-28,52
2016-01-29,50
2016-01-30,31
2016-01-31,27
2016-02-01,45
2016-02-02,48
2016-02-03,48
2016-02-04,48
2016-02-05,48
2016-02-06,31
2016-02-07,26
2016-02-08,48
2016-02-09,51
2016-02-10,48
2016-02-11,54
2016-02-12,50
2016-02-13,29
2016-02-14,25
2016-02-15,38
2016-02-16,46
2016-02-17,49
2016-02-18,47
2016-02-19,44
2016-02-20,27
2016-02-21,25
2016-02-22,45
2016-02-23,47
2016-02-24,46
2016-02-25,46
2016-02-26,45
2016-02-27,27
2016-02-28,25
2016-02-29,42
2016-03-01,46
2016-03-02,47
2016-03-03,47
2016-03-04,47
2016-03-05,28
2016-03-06,26
2016-03-07,44
2016-03-08,46
2016-03-09,44
2016-03-10,45
2016-03-11,42
2016-03-12,27
2016-03-13,24
2016-03-14,41
2016-03-15,44
2016-03-16,43
2016-03-17,44
2016-03-18,44
2016-03-19,26
2016-03-20,25
2016-03-21,44
2016-03-22,44
2016-03-23,43
2016-03-24,42
2016-03-25,35
2016-03-26,24
2016-03-27,23
2016-03-28,39
2016-03-29,42
2016-03-30,44
2016-03-31,43
2016-04-01,45
2016-04-02,28
2016-04-03,25
2016-04-04,43
2016-04-05,44
2016-04-06,44
2016-04-07,44
2016-04-08,42
2016-04-09,27
2016-04-10,25
2016-04-11,42
2016-04-12,43
2016-04-13,46
2016-04-14,44
2016-04-15,42
2016-04-16,25
2016-04-17,24
2016-04-18,43
2016-04-19,46
2016-04-20,45
2016-04-21,45
2016-04-22,43
2016-04-23,26
2016-04-24,24
2016-04-25,40
2016-04-26,45
2016-04-27,50
2016-04-28,51
2016-04-29,48
2016-04-30,28
2016-05-01,26
2016-05-02,44
2016-05-03,45
2016-05-04,44
