date,stock
2017-01-19,67
2017-01-20,67
2017-01-21,44
2017-01-22,40
2017-01-23,66
2017-01-24,72
2017-01-25,82
2017-01-26,77
2017-01-27,70
2017-01-28,44
2017-01-29,40
2017-01-30,68
2017-01-31,78
2017-02-01,79
2017-02-02,76
2017-02-03,75
2017-02-04,46
2017-02-05,39
2017-02-06,64
2017-02-07,72
2017-02-08,72
2017-02-09,76
2017-02-10,74
2017-02-11,45
2017-02-12,40
2017-02-13,67
2017-02-14,72
2017-02-15,76
2017-02-16,76
2017-02-17,73
2017-02-18,45
2017-02-19,41
2017-02-20,56
2017-02-21,72
2017-02-22,77
2017-02-23,75
2017-02-24,71
2017-02-25,45
2017-02-26,40
2017-02-27,70
2017-02-28,78
2017-03-01,85
2017-03-02,100
2017-03-03,91
2017-03-04,53
2017-03-05,44
2017-03-06,73
2017-03-07,78
2017-03-08,74
2017-03-09,72
2017-03-10,70
2017-03-11,45
2017-03-12,41
2017-03-13,67
2017-03-14,69
2017-03-15,69
2017-03-16,71
2017-03-17,68
2017-03-18,42
2017-03-19,39
2017-03-20,67
2017-03-21,73
2017-03-22,73
2017-03-23,69
2017-03-24,67
2017-03-25,41
2017-03-26,38
2017-03-27,68
2017-03-28,73
2017-03-29,72
2017-03-30,73
2017-03-31,69
2017-04-01,42
