date,NFLX
2011-05-11,6
2011-05-12,5
2011-05-13,5
2011-05-14,2
2011-05-15,1
2011-05-16,5
2011-05-17,6
2011-05-18,6
2011-05-19,6
2011-05-20,5
2011-05-21,1
2011-05-22,1
2011-05-23,5
2011-05-24,4
2011-05-25,8
2011-05-26,8
2011-05-27,5
2011-05-28,3
2011-05-29,2
2011-05-30,1
2011-05-31,7
2011-06-01,9
2011-06-02,8
2011-06-03,6
2011-06-04,2
2011-06-05,2
2011-06-06,8
2011-06-07,4
2011-06-08,4
2011-06-09,4
2011-06-10,4
2011-06-11,2
2011-06-12,1
2011-06-13,4
2011-06-14,6
2011-06-15,4
2011-06-16,5
2011-06-17,3
2011-06-18,1
2011-06-19,1
2011-06-20,4
2011-06-21,5
2011-06-22,4
2011-06-23,6
2011-06-24,3
2011-06-25,1
2011-06-26,1
2011-06-27,4
2011-06-28,4
2011-06-29,4
2011-06-30,4
2011-07-01,3
2011-07-02,1
2011-07-03,1
2011-07-04,1
2011-07-05,14
2011-07-06,10
2011-07-07,8
2011-07-08,7
2011-07-09,2
2011-07-10,1
2011-07-11,8
2011-07-12,13
2011-07-13,22
2011-07-14,15
2011-07-15,12
2011-07-16,3
2011-07-17,2
2011-07-18,8
2011-07-19,8
2011-07-20,8
2011-07-21,9
2011-07-22,8
2011-07-23,3
2011-07-24,3
2011-07-25,23
2011-07-26,32
2011-07-27,15
2011-07-28,9
2011-07-29,8
2011-07-30,3
2011-07-31,2
2011-08-01,8
2011-08-02,6
2011-08-03,6
2011-08-04,8
2011-08-05,10
2011-08-06,1
2011-08-07,1
2011-08-08,9
2011-08-09,8
2011-08-10,7
2011-08-11,5
2011-08-12,5
2011-08-13,2
2011-08-14,1
2011-08-15,5
2011-08-16,4
2011-08-17,7
2011-08-18,5
2011-08-19,8
2011-08-20,1
2011-08-21,1
2011-08-22,5
2011-08-23,5
2011-08-24,4
2011-08-25,4
2011-08-26,3
2011-08-27,2
2011-08-28,1
2011-08-29,3
2011-08-30,3
2011-08-31,4
2011-09-01,10
2011-09-02,18
2011-09-03,2
2011-09-04,2
2011-09-05,2
2011-09-06,6
2011-09-07,6
2011-09-08,4
2011-09-09,4
2011-09-10,1
2011-09-11,1
2011-09-12,4
2011-09-13,5
2011-09-14,3
2011-09-15,26
2011-09-16,30
2011-09-17,8
2011-09-18,4
2011-09-19,39
2011-09-20,36
2011-09-21,26
2011-09-22,20
2011-09-23,18
2011-09-24,5
2011-09-25,3
2011-09-26,16
2011-09-27,11
2011-09-28,9
2011-09-29,15
2011-09-30,15
2011-10-01,3
2011-10-02,3
2011-10-03,9
2011-10-04,11
2011-10-05,10
2011-10-06,9
2011-10-07,9
2011-10-08,3
2011-10-09,2
2011-10-10,25
2011-10-11,18
2011-10-12,13
2011-10-13,12
2011-10-14,10
2011-10-15,4
2011-10-16,2
2011-10-17,7
2011-10-18,8
2011-10-19,9
2011-10-20,7
2011-10-21,8
2011-10-22,3
2011-10-23,2
2011-10-24,45
2011-10-25,100
2011-10-26,55
2011-10-27,33
2011-10-28,23
2011-10-29,7
2011-10-30,6
2011-10-31,15
2011-11-01,15
2011-11-02,12
2011-11-03,13
2011-11-04,15
2011-11-05,3
2011-11-06,3
2011-11-07,11
2011-11-08,11
2011-11-09,10
2011-11-10,9
2011-11-11,7
2011-11-12,3
2011-11-13,2
2011-11-14,7
2011-11-15,7
2011-11-16,7
2011-11-17,7
2011-11-18,7
2011-11-19,3
2011-11-20,2
2011-11-21,8
2011-11-22,18
2011-11-23,8
2011-11-24,3
2011-11-25,6
2011-11-26,3
2011-11-27,3
2011-11-28,9
2011-11-29,7
2011-11-30,12
2011-12-01,9
2011-12-02,6
2011-12-03,2
2011-12-04,3
2011-12-05,6
2011-12-06,8
2011-12-07,8
2011-12-08,6
2011-12-09,5
2011-12-10,3
2011-12-11,2
2011-12-12,9
2011-12-13,8
2011-12-14,7
2011-12-15,5
2011-12-16,4
2011-12-17,2
2011-12-18,2
2011-12-19,5
2011-12-20,6
2011-12-21,5
2011-12-22,4
2011-12-23,4
2011-12-24,2
2011-12-25,2
2011-12-26,1
2011-12-27,4
2011-12-28,5
2011-12-29,3
2011-12-30,4
2011-12-31,2
2012-01-01,1
2012-01-02,2
2012-01-03,5
2012-01-04,8
2012-01-05,10
2012-01-06,11
2012-01-07,3
2012-01-08,2
2012-01-09,14
2012-01-10,15
2012-01-11,8
2012-01-12,9
2012-01-13,8
2012-01-14,3
2012-01-15,2
2012-01-16,3
2012-01-17,7
2012-01-18,7
2012-01-19,9
2012-01-20,10
2012-01-21,4
2012-01-22,2
2012-01-23,8
2012-01-24,9
2012-01-25,20
2012-01-26,32
