date,NFLX
2011-09-18,3
2011-09-19,35
2011-09-20,36
2011-09-21,26
2011-09-22,24
2011-09-23,16
2011-09-24,3
2011-09-25,3
2011-09-26,14
2011-09-27,13
2011-09-28,8
2011-09-29,15
2011-09-30,14
2011-10-01,3
2011-10-02,4
2011-10-03,9
2011-10-04,9
2011-10-05,8
2011-10-06,9
2011-10-07,8
2011-10-08,3
2011-10-09,3
2011-10-10,27
2011-10-11,18
2011-10-12,13
2011-10-13,11
2011-10-14,11
2011-10-15,3
2011-10-16,1
2011-10-17,7
2011-10-18,7
2011-10-19,9
2011-10-20,7
2011-10-21,9
2011-10-22,3
2011-10-23,1
2011-10-24,41
2011-10-25,100
2011-10-26,53
2011-10-27,29
2011-10-28,20
2011-10-29,7
2011-10-30,4
2011-10-31,14
2011-11-01,13
2011-11-02,9
2011-11-03,11
2011-11-04,13
2011-11-05,3
2011-11-06,2
2011-11-07,9
2011-11-08,9
2011-11-09,10
2011-11-10,9
2011-11-11,7
2011-11-12,3
2011-11-13,2
2011-11-14,7
2011-11-15,7
2011-11-16,8
2011-11-17,8
2011-11-18,7
2011-11-19,2
2011-11-20,2
2011-11-21,7
2011-11-22,16
2011-11-23,9
2011-11-24,3
2011-11-25,5
2011-11-26,3
2011-11-27,3
2011-11-28,9
2011-11-29,7
2011-11-30,12
2011-12-01,9
2011-12-02,7
2011-12-03,3
2011-12-04,2
2011-12-05,6
2011-12-06,8
2011-12-07,8
2011-12-08,7
2011-12-09,6
2011-12-10,2
2011-12-11,2
2011-12-12,7
2011-12-13,9
2011-12-14,6
2011-12-15,5
2011-12-16,4
2011-12-17,3
2011-12-18,2
2011-12-19,5
2011-12-20,4
2011-12-21,6
2011-12-22,4
2011-12-23,4
2011-12-24,2
2011-12-25,2
2011-12-26,2
2011-12-27,4
2011-12-28,5
2011-12-29,3
2011-12-30,4
2011-12-31,1
2012-01-01,1
2012-01-02,1
2012-01-03,4
2012-01-04,7
2012-01-05,9
2012-01-06,10
2012-01-07,3
2012-01-08,2
2012-01-09,14
2012-01-10,14
2012-01-11,9
2012-01-12,9
2012-01-13,8
2012-01-14,3
2012-01-15,2
2012-01-16,3
2012-01-17,7
2012-01-18,8
2012-01-19,9
2012-01-20,9
2012-01-21,3
2012-01-22,2
2012-01-23,8
2012-01-24,9
2012-01-25,19
2012-01-26,33
2012-01-27,17
2012-01-28,7
2012-01-29,4
2012-01-30,13
2012-01-31,11
2012-02-01,9
2012-02-02,9
2012-02-03,10
2012-02-04,3
2012-02-05,3
2012-02-06,9
2012-02-07,11
2012-02-08,7
2012-02-09,9
2012-02-10,7
2012-02-11,3
2012-02-12,2
2012-02-13,7
2012-02-14,8
2012-02-15,7
2012-02-16,8
2012-02-17,6
2012-02-18,2
2012-02-19,1
2012-02-20,3
2012-02-21,9
2012-02-22,11
2012-02-23,8
2012-02-24,7
2012-02-25,2
2012-02-26,1
2012-02-27,6
2012-02-28,7
2012-02-29,6
2012-03-01,5
2012-03-02,6
2012-03-03,1
2012-03-04,1
2012-03-05,5
2012-03-06,5
2012-03-07,8
2012-03-08,6
2012-03-09,7
2012-03-10,2
2012-03-11,1
2012-03-12,4
2012-03-13,5
2012-03-14,4
2012-03-15,5
2012-03-16,4
2012-03-17,1
2012-03-18,2
2012-03-19,5
2012-03-20,5
2012-03-21,5
2012-03-22,6
2012-03-23,5
2012-03-24,1
2012-03-25,1
2012-03-26,5
2012-03-27,5
2012-03-28,3
2012-03-29,4
2012-03-30,5
2012-03-31,1
2012-04-01,1
2012-04-02,3
2012-04-03,5
2012-04-04,4
2012-04-05,3
2012-04-06,2
2012-04-07,1
2012-04-08,1
2012-04-09,3
2012-04-10,4
2012-04-11,5
2012-04-12,5
2012-04-13,4
2012-04-14,1
2012-04-15,1
2012-04-16,3
2012-04-17,4
2012-04-18,3
2012-04-19,3
2012-04-20,4
2012-04-21,1
2012-04-22,1
2012-04-23,16
2012-04-24,24
2012-04-25,10
2012-04-26,6
2012-04-27,5
2012-04-28,2
2012-04-29,2
2012-04-30,4
2012-05-01,5
2012-05-02,4
2012-05-03,8
2012-05-04,5
2012-05-05,1
2012-05-06,2
2012-05-07,5
2012-05-08,4
2012-05-09,3
2012-05-10,2
2012-05-11,5
2012-05-12,2
2012-05-13,1
2012-05-14,6
2012-05-15,3
2012-05-16,3
2012-05-17,3
2012-05-18,3
2012-05-19,1
2012-05-20,2
2012-05-21,3
2012-05-22,5
2012-05-23,4
2012-05-24,4
2012-05-25,2
2012-05-26,1
2012-05-27,2
2012-05-28,1
2012-05-29,4
2012-05-30,3
2012-05-31,4
2012-06-01,5
2012-06-02,2
2012-06-03,2
2012-06-04,3
