date,NFLX
2012-06-04,6
2012-06-05,8
2012-06-06,9
2012-06-07,8
2012-06-08,6
2012-06-09,1
2012-06-10,2
2012-06-11,7
2012-06-12,7
2012-06-13,4
2012-06-14,5
2012-06-15,6
2012-06-16,5
2012-06-17,3
2012-06-18,6
2012-06-19,6
2012-06-20,4
2012-06-21,4
2012-06-22,5
2012-06-23,3
2012-06-24,2
2012-06-25,4
2012-06-26,7
2012-06-27,5
2012-06-28,6
2012-06-29,6
2012-06-30,4
2012-07-01,4
2012-07-02,5
2012-07-03,8
2012-07-04,5
2012-07-05,18
2012-07-06,20
2012-07-07,3
2012-07-08,3
2012-07-09,9
2012-07-10,9
2012-07-11,7
2012-07-12,11
2012-07-13,14
2012-07-14,2
2012-07-15,3
2012-07-16,5
2012-07-17,8
2012-07-18,8
2012-07-19,9
2012-07-20,6
2012-07-21,2
2012-07-22,3
2012-07-23,9
2012-07-24,30
2012-07-25,46
2012-07-26,26
2012-07-27,16
2012-07-28,4
2012-07-29,2
2012-07-30,8
2012-07-31,9
2012-08-01,12
2012-08-02,9
2012-08-03,8
2012-08-04,1
2012-08-05,2
2012-08-06,9
2012-08-07,8
2012-08-08,9
2012-08-09,6
2012-08-10,8
2012-08-11,4
2012-08-12,4
2012-08-13,8
2012-08-14,8
2012-08-15,12
2012-08-16,11
2012-08-17,10
2012-08-18,3
2012-08-19,3
2012-08-20,10
2012-08-21,10
2012-08-22,9
2012-08-23,8
2012-08-24,10
2012-08-25,2
2012-08-26,1
2012-08-27,7
2012-08-28,4
2012-08-29,3
2012-08-30,7
2012-08-31,5
2012-09-01,2
2012-09-02,1
2012-09-03,2
2012-09-04,12
2012-09-05,7
2012-09-06,9
2012-09-07,8
2012-09-08,2
2012-09-09,4
2012-09-10,6
2012-09-11,5
2012-09-12,5
2012-09-13,5
2012-09-14,8
2012-09-15,3
2012-09-16,2
2012-09-17,6
2012-09-18,6
2012-09-19,6
2012-09-20,5
2012-09-21,7
2012-09-22,2
2012-09-23,2
2012-09-24,5
2012-09-25,5
2012-09-26,7
2012-09-27,5
2012-09-28,5
2012-09-29,4
2012-09-30,1
2012-10-01,6
2012-10-02,6
2012-10-03,11
2012-10-04,14
2012-10-05,15
2012-10-06,4
2012-10-07,3
2012-10-08,13
2012-10-09,17
2012-10-10,15
2012-10-11,9
2012-10-12,7
2012-10-13,3
2012-10-14,1
2012-10-15,6
2012-10-16,5
2012-10-17,7
2012-10-18,7
2012-10-19,6
2012-10-20,1
2012-10-21,1
2012-10-22,9
2012-10-23,35
2012-10-24,27
2012-10-25,9
2012-10-26,19
2012-10-27,5
2012-10-28,4
2012-10-29,7
2012-10-30,6
2012-10-31,28
2012-11-01,22
2012-11-02,11
2012-11-03,3
2012-11-04,2
2012-11-05,18
2012-11-06,10
2012-11-07,10
2012-11-08,9
2012-11-09,8
2012-11-10,4
2012-11-11,2
2012-11-12,6
2012-11-13,9
2012-11-14,8
2012-11-15,6
2012-11-16,9
2012-11-17,2
2012-11-18,1
2012-11-19,8
2012-11-20,8
2012-11-21,8
2012-11-22,3
2012-11-23,2
2012-11-24,2
2012-11-25,2
2012-11-26,7
2012-11-27,6
2012-11-28,5
2012-11-29,6
2012-11-30,7
2012-12-01,4
2012-12-02,1
2012-12-03,8
2012-12-04,21
2012-12-05,21
2012-12-06,14
2012-12-07,19
2012-12-08,4
2012-12-09,1
2012-12-10,7
2012-12-11,9
2012-12-12,15
2012-12-13,9
2012-12-14,11
2012-12-15,2
2012-12-16,1
2012-12-17,6
2012-12-18,6
2012-12-19,10
2012-12-20,7
2012-12-21,8
2012-12-22,2
2012-12-23,2
2012-12-24,4
2012-12-25,5
2012-12-26,8
2012-12-27,6
2012-12-28,6
2012-12-29,3
2012-12-30,1
2012-12-31,11
2013-01-01,3
2013-01-02,8
2013-01-03,7
2013-01-04,9
2013-01-05,4
2013-01-06,2
2013-01-07,10
2013-01-08,9
2013-01-09,11
2013-01-10,10
2013-01-11,11
2013-01-12,3
2013-01-13,4
2013-01-14,10
2013-01-15,10
2013-01-16,10
2013-01-17,11
2013-01-18,10
2013-01-19,4
2013-01-20,1
2013-01-21,4
2013-01-22,10
2013-01-23,44
2013-01-24,100
2013-01-25,82
2013-01-26,29
2013-01-27,13
2013-01-28,37
2013-01-29,35
2013-01-30,28
2013-01-31,23
2013-02-01,22
2013-02-02,9
2013-02-03,4
2013-02-04,20
2013-02-05,26
2013-02-06,25
2013-02-07,24
2013-02-08,23
2013-02-09,8
2013-02-10,5
2013-02-11,17
2013-02-12,20
2013-02-13,17
2013-02-14,18
2013-02-15,19
2013-02-16,7
2013-02-17,3
2013-02-18,6
2013-02-19,18
