date,NFLX
2016-07-30,5
2016-07-31,3
2016-08-01,17
2016-08-02,16
2016-08-03,16
2016-08-04,15
2016-08-05,23
2016-08-06,6
2016-08-07,3
2016-08-08,16
2016-08-09,15
2016-08-10,14
2016-08-11,17
2016-08-12,10
2016-08-13,4
2016-08-14,2
2016-08-15,11
2016-08-16,9
2016-08-17,11
2016-08-18,8
2016-08-19,11
2016-08-20,3
2016-08-21,3
2016-08-22,11
2016-08-23,13
2016-08-24,12
2016-08-25,13
2016-08-26,11
2016-08-27,3
2016-08-28,3
2016-08-29,11
2016-08-30,11
2016-08-31,9
2016-09-01,12
2016-09-02,11
2016-09-03,3
2016-09-04,2
2016-09-05,2
2016-09-06,12
2016-09-07,14
2016-09-08,12
2016-09-09,13
2016-09-10,5
2016-09-11,2
2016-09-12,12
2016-09-13,14
2016-09-14,10
2016-09-15,10
2016-09-16,14
2016-09-17,4
2016-09-18,2
2016-09-19,12
2016-09-20,12
2016-09-21,18
2016-09-22,15
2016-09-23,14
2016-09-24,3
2016-09-25,2
2016-09-26,11
2016-09-27,13
2016-09-28,11
2016-09-29,10
2016-09-30,12
2016-10-01,2
2016-10-02,4
2016-10-03,20
2016-10-04,23
2016-10-05,23
2016-10-06,18
2016-10-07,17
2016-10-08,5
2016-10-09,3
2016-10-10,16
2016-10-11,15
2016-10-12,12
2016-10-13,15
2016-10-14,15
2016-10-15,4
2016-10-16,3
2016-10-17,72
2016-10-18,100
2016-10-19,42
2016-10-20,28
2016-10-21,27
2016-10-22,8
2016-10-23,6
2016-10-24,24
2016-10-25,21
2016-10-26,21
2016-10-27,16
2016-10-28,16
2016-10-29,4
2016-10-30,3
2016-10-31,14
2016-11-01,13
2016-11-02,16
2016-11-03,12
2016-11-04,10
2016-11-05,4
2016-11-06,2
2016-11-07,13
2016-11-08,11
2016-11-09,17
2016-11-10,19
2016-11-11,13
2016-11-12,4
2016-11-13,2
2016-11-14,13
2016-11-15,17
2016-11-16,14
2016-11-17,14
2016-11-18,11
2016-11-19,3
2016-11-20,2
2016-11-21,9
2016-11-22,11
2016-11-23,8
2016-11-24,3
2016-11-25,7
2016-11-26,2
2016-11-27,2
2016-11-28,5
2016-11-29,7
2016-11-30,11
2016-12-01,12
2016-12-02,14
2016-12-03,3
2016-12-04,2
2016-12-05,11
2016-12-06,13
2016-12-07,13
2016-12-08,12
2016-12-09,11
2016-12-10,2
2016-12-11,2
2016-12-12,9
2016-12-13,10
2016-12-14,9
2016-12-15,10
2016-12-16,9
2016-12-17,2
2016-12-18,2
2016-12-19,7
2016-12-20,7
2016-12-21,8
2016-12-22,8
2016-12-23,8
2016-12-24,3
2016-12-25,1
2016-12-26,4
2016-12-27,7
2016-12-28,8
2016-12-29,8
2016-12-30,7
2016-12-31,4
2017-01-01,2
2017-01-02,3
2017-01-03,8
2017-01-04,11
2017-01-05,12
2017-01-06,16
2017-01-07,7
2017-01-08,2
2017-01-09,13
2017-01-10,11
2017-01-11,12
2017-01-12,9
2017-01-13,12
2017-01-14,5
2017-01-15,4
2017-01-16,9
2017-01-17,23
2017-01-18,56
2017-01-19,73
2017-01-20,22
2017-01-21,8
2017-01-22,5
2017-01-23,15
2017-01-24,13
2017-01-25,15
2017-01-26,15
2017-01-27,13
2017-01-28,4
2017-01-29,3
2017-01-30,9
2017-01-31,11
2017-02-01,13
2017-02-02,11
2017-02-03,12
2017-02-04,4
2017-02-05,2
2017-02-06,8
2017-02-07,10
2017-02-08,11
2017-02-09,16
2017-02-10,14
2017-02-11,3
2017-02-12,4
2017-02-13,11
2017-02-14,14
2017-02-15,15
2017-02-16,13
2017-02-17,11
2017-02-18,3
2017-02-19,2
2017-02-20,3
2017-02-21,11
2017-02-22,11
2017-02-23,8
2017-02-24,7
2017-02-25,2
2017-02-26,2
2017-02-27,9
2017-02-28,10
2017-03-01,10
2017-03-02,11
2017-03-03,11
2017-03-04,3
2017-03-05,2
2017-03-06,11
2017-03-07,10
2017-03-08,9
2017-03-09,9
2017-03-10,9
2017-03-11,2
2017-03-12,2
2017-03-13,9
2017-03-14,9
2017-03-15,9
2017-03-16,9
2017-03-17,9
2017-03-18,4
2017-03-19,3
2017-03-20,7
2017-03-21,11
2017-03-22,8
2017-03-23,9
2017-03-24,8
2017-03-25,2
2017-03-26,1
2017-03-27,8
2017-03-28,8
2017-03-29,9
2017-03-30,7
2017-03-31,10
2017-04-01,2
2017-04-02,3
2017-04-03,7
2017-04-04,8
2017-04-05,9
2017-04-06,9
2017-04-07,7
2017-04-08,3
2017-04-09,2
2017-04-10,7
2017-04-11,8
2017-04-12,9
2017-04-13,12
2017-04-14,5
